ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778419761,21,10756,42,22.27,30,8.12,15.5,81.0,75
1778419762,32,10764,42,16.42,31,8.12,14.8,81.3,75
1778419764,10,1585,43,33.09,0,8.12,15.2,81.3,75
1778419766,24,10992,44,49.41,0,7.63,14.8,81.4,75
1778419768,100,10998,52,53.70,0,7.63,19.5,81.3,75
1778419769,63,10998,52,144.94,0,7.63,15.5,81.5,75
1778419771,63,10998,54,146.32,0,7.34,15.5,81.3,75
1778419773,65,10998,52,146.94,0,7.34,13.2,81.3,75
1778419775,63,10998,56,146.72,0,7.15,14.6,81.4,75
1778419777,62,10998,54,148.44,0,7.15,18.5,81.2,75
1778419779,63,10998,56,147.94,0,7.15,17.3,81.3,75
1778419780,64,10998,58,149.27,30,7.06,17.8,81.4,75
1778419782,63,10998,57,149.47,30,7.06,15.4,81.2,75
1778419784,64,10998,56,149.59,30,7.06,13.5,81.2,75
1778419786,63,10998,58,149.47,30,6.98,14.6,81.3,75
1778419788,63,10998,58,149.97,30,6.98,13.8,81.2,75
1778419790,64,10998,58,150.15,30,6.66,14.8,81.3,75
1778419791,63,10998,59,150.39,30,6.66,14.8,81.2,75
1778419793,63,10998,59,150.96,30,6.66,17.6,81.3,75
1778419795,63,10998,59,150.45,30,6.68,17.7,81.4,75
1778419797,64,10998,57,151.23,30,6.68,17.7,81.2,75
1778419799,64,10998,58,151.43,30,6.68,25.5,81.3,75
1778419800,64,10998,58,151.21,30,7.03,15.8,81.4,75
1778419802,64,10998,57,151.40,30,7.03,14.4,81.2,75
1778419804,63,10998,57,151.86,30,7.03,14.8,81.2,75
1778419806,64,10998,58,152.25,30,6.95,13.8,81.3,75
1778419808,64,10998,57,152.37,30,6.95,13.8,81.2,75
1778419810,65,10998,59,151.65,30,6.95,15.0,81.3,75
1778419811,64,10998,59,152.51,30,6.63,14.4,81.2,75
1778419813,64,10998,60,154.18,30,6.63,14.4,81.2,75
1778419815,62,10998,60,152.59,30,6.58,18.2,81.3,75
1778419817,63,10998,60,152.71,30,6.58,14.4,81.2,75
1778419819,65,10998,60,153.50,30,6.58,13.5,81.2,75
1778419820,64,10998,59,152.69,30,6.37,14.4,81.1,75
1778419822,64,10998,61,153.13,30,6.37,14.8,81.1,75
1778419824,64,10998,59,152.98,30,6.37,13.7,81.1,75
1778419826,64,10998,59,154.00,30,6.18,13.5,81.1,75
1778419828,64,10998,61,153.18,30,6.18,17.2,81.1,75
1778419829,62,10998,60,153.60,30,6.18,16.4,81.2,75
1778419831,64,10998,61,153.16,30,5.93,13.5,81.1,75
1778419833,64,10998,59,154.25,30,5.93,13.6,81.0,75
1778419835,64,10998,62,153.45,30,5.93,14.1,81.2,75
1778419836,64,10998,59,154.27,30,6.01,18.3,81.0,75
1778419838,65,10998,62,153.64,30,6.01,17.5,81.4,75
1778419840,64,10998,62,152.76,30,5.85,17.3,80.7,75
1778419842,64,10998,61,154.06,30,5.85,17.2,80.8,75
1778419843,65,10998,60,155.35,30,5.85,18.0,80.8,75
1778419845,63,10998,62,154.10,30,5.54,14.9,80.7,75
1778419847,64,10998,63,153.38,30,5.54,13.8,80.7,75
1778419849,61,10998,60,154.23,30,5.54,19.1,80.7,75
1778419851,66,10998,61,155.15,30,5.34,13.1,80.7,75
1778419852,66,10998,61,154.58,30,5.34,25.6,80.7,75
1778419854,64,10998,63,153.32,30,5.34,13.9,80.6,75
1778419856,64,10998,62,153.97,30,5.15,13.1,80.6,75
1778419858,65,10998,62,154.25,30,5.15,13.6,80.6,75
1778419860,62,10998,63,154.21,30,5.30,14.0,80.7,75
1778419861,65,10998,62,154.37,30,5.30,14.0,80.6,75
1778419863,64,10998,63,154.57,30,5.30,14.0,80.6,75
1778419865,65,10998,63,154.88,30,5.52,13.5,80.8,75
1778419867,65,10998,62,154.74,30,5.52,14.1,80.6,75
1778419869,66,10998,60,155.78,30,5.52,13.8,80.6,75
1778419871,66,10998,62,155.56,30,5.39,13.9,80.6,75
1778419872,63,10998,63,155.00,30,5.39,14.6,80.6,75
1778419874,64,10998,63,154.38,30,5.39,14.2,80.6,75
1778419876,64,10998,61,155.26,30,5.12,12.1,80.6,75
1778419878,63,10998,61,156.69,30,5.12,13.8,80.6,75
1778419880,64,10998,63,155.12,30,5.12,14.3,80.7,75
1778419881,67,10998,62,156.17,30,5.19,14.3,80.6,75
1778419883,65,10998,60,156.01,30,5.19,18.3,80.7,75
1778419885,66,10998,63,155.53,30,6.14,13.9,80.8,75
1778419887,63,10998,62,156.03,30,6.14,13.2,80.7,75
1778419889,66,10998,63,155.83,30,6.14,14.6,80.7,75
1778419890,64,10998,63,156.30,31,5.89,14.1,80.7,75
1778419892,66,10998,63,155.92,31,5.89,13.8,80.6,75
1778419894,62,10998,63,156.85,31,5.89,13.8,80.6,75
1778419896,65,10998,63,156.57,32,5.73,14.2,80.6,75
1778419897,64,10998,63,156.59,32,5.73,14.1,80.6,75
1778419899,66,10998,63,156.33,33,5.73,13.6,80.6,75
1778419901,63,10998,64,156.77,33,5.44,19.7,80.5,75
1778419903,65,10998,63,156.27,33,5.44,13.9,80.5,75
1778419904,65,10998,62,157.65,33,5.44,16.8,80.6,75
