ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420048,,,,,,5.34,20.3,78.4,75
1778420050,,,,,,5.34,49.2,78.7,78
1778420051,,,,,,5.31,23.1,95.6,3000
1778420052,,,,,,5.31,23.5,96.2,9276
1778420054,,,,,,5.31,13.7,96.9,9794
1778420055,,,,,,5.31,14.8,97.0,9795
1778420057,,,,,,4.97,14.4,96.9,9796
1778420058,,,,,,4.97,15.4,96.9,9796
1778420059,,,,,,4.97,13.2,96.9,9796
1778420061,,,,,,4.73,14.0,97.0,9797
1778420062,,,,,,4.73,14.1,96.9,9797
1778420063,,,,,,4.73,14.1,96.9,9797
1778420065,,,,,,4.73,15.4,97.0,9797
1778420066,,,,,,4.51,15.1,97.0,9795
