ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420071,,,,,,4.47,20.9,96.5,9795
1778420073,,,,,,4.47,66.3,82.4,74
1778420074,,,,,,4.47,20.5,96.1,6361
1778420075,,,,,,4.11,13.7,97.1,9791
1778420077,,,,,,4.11,13.1,97.0,9793
1778420078,,,,,,4.11,15.2,97.0,9794
1778420080,,,,,,4.11,13.2,97.0,9794
1778420081,,,,,,3.94,15.6,97.1,9794
1778420082,,,,,,3.94,13.6,97.0,9794
1778420084,,,,,,3.94,13.6,97.0,9794
1778420085,,,,,,3.94,14.3,97.1,9794
1778420086,,,,,,4.19,13.4,96.9,9794
1778420088,,,,,,4.19,14.3,96.9,9795
1778420089,,,,,,4.19,14.8,96.9,9795
1778420090,,,,,,3.85,13.5,97.0,9795
1778420092,,,,,,3.85,13.5,96.9,9795
1778420093,,,,,,3.85,14.0,96.9,9795
1778420094,,,,,,3.85,13.2,96.9,9794
1778420096,,,,,,3.62,19.4,97.0,9795
1778420097,,,,,,3.62,13.9,96.9,9795
1778420098,,,,,,3.62,14.6,96.9,9795
1778420100,,,,,,3.62,15.8,96.9,9795
1778420101,,,,,,3.73,13.0,96.4,9795
1778420103,,,,,,3.73,13.2,96.3,9795
1778420104,,,,,,3.73,14.3,96.2,9795
1778420105,,,,,,3.73,13.7,96.3,9795
1778420107,,,,,,3.91,13.8,96.2,9795
1778420108,,,,,,3.91,14.9,96.2,9795
1778420109,,,,,,3.91,14.2,96.2,9796
1778420111,,,,,,3.76,14.1,96.3,9796
1778420112,,,,,,3.76,14.5,96.2,9796
1778420113,,,,,,3.76,13.2,96.2,9796
1778420115,,,,,,3.76,14.9,96.2,9796
1778420116,,,,,,3.46,13.8,96.2,9796
1778420117,,,,,,3.46,14.5,96.1,9796
1778420119,,,,,,3.46,14.6,96.1,9796
1778420120,,,,,,3.46,14.1,96.2,9796
1778420122,,,,,,3.66,15.1,96.1,9796
1778420123,,,,,,3.66,16.7,96.1,9796
1778420124,,,,,,3.66,14.6,96.1,9796
1778420126,,,,,,3.45,14.4,96.2,9796
1778420127,,,,,,3.45,14.4,96.1,9796
1778420128,,,,,,3.45,14.8,96.1,9796
1778420130,,,,,,3.45,15.4,95.5,9796
1778420131,,,,,,3.17,14.5,95.5,9796
1778420132,,,,,,3.17,13.5,95.4,9796
1778420134,,,,,,3.17,14.3,95.4,9796
1778420135,,,,,,3.17,14.2,95.5,9796
1778420136,,,,,,3.32,14.3,95.4,9796
1778420138,,,,,,3.32,14.1,95.4,9796
1778420139,,,,,,3.32,13.5,95.4,9796
1778420140,,,,,,3.53,14.1,95.5,9796
1778420142,,,,,,3.53,13.7,95.4,9796
1778420143,,,,,,3.53,13.9,95.4,9796
1778420145,,,,,,3.53,19.4,95.4,9796
1778420146,,,,,,3.33,20.6,95.5,9796
1778420147,,,,,,3.33,19.8,95.5,9795
1778420149,,,,,,3.33,20.5,95.5,9796
1778420150,,,,,,3.33,31.6,95.6,9796
1778420151,,,,,,4.10,27.2,95.6,9796
1778420153,,,,,,4.10,20.5,95.5,9796
1778420154,,,,,,4.10,20.8,95.5,9796
1778420155,,,,,,4.18,19.7,95.6,9796
1778420157,,,,,,4.18,20.1,95.5,9796
1778420158,,,,,,4.18,23.8,95.6,9796
1778420159,,,,,,4.18,19.6,95.6,9796
1778420161,,,,,,4.16,20.5,95.7,9796
1778420162,,,,,,4.16,20.3,95.7,9796
1778420163,,,,,,4.16,20.2,95.6,9796
1778420165,,,,,,4.16,24.1,94.9,9796
1778420166,,,,,,4.63,21.3,94.9,9796
1778420167,,,,,,4.63,20.2,94.7,9796
1778420169,,,,,,4.63,19.6,94.7,9796
1778420170,,,,,,4.63,20.0,94.8,9796
1778420171,,,,,,4.50,22.2,94.7,9796
1778420173,,,,,,4.50,21.1,94.8,9796
1778420174,,,,,,4.50,34.4,94.7,9796
1778420175,,,,,,4.38,25.1,94.9,9796
1778420177,,,,,,4.38,23.2,94.7,9796
1778420178,,,,,,4.38,21.3,94.7,9796
1778420180,,,,,,4.38,23.5,94.7,9796
1778420181,,,,,,4.43,19.2,94.8,9796
1778420182,,,,,,4.43,19.3,94.9,9796
1778420184,,,,,,4.43,20.3,95.0,9796
1778420185,,,,,,4.43,21.5,95.1,9796
1778420186,,,,,,4.31,19.4,94.9,9796
1778420188,,,,,,4.31,19.2,94.7,9796
1778420189,,,,,,4.31,19.8,94.5,9796
1778420190,,,,,,4.31,19.9,94.4,9796
1778420192,,,,,,4.21,19.8,94.2,9796
1778420193,,,,,,4.21,20.9,94.1,9796
1778420194,,,,,,4.21,20.6,94.0,9796
1778420196,,,,,,4.27,20.9,93.9,9796
1778420197,,,,,,4.27,21.3,93.8,9796
1778420198,,,,,,4.27,20.4,93.8,9796
1778420200,,,,,,4.27,21.8,93.7,9795
1778420201,,,,,,4.17,20.5,93.7,9796
1778420202,,,,,,4.17,19.7,93.6,9797
1778420204,,,,,,4.17,29.7,93.6,9797
1778420205,,,,,,4.17,19.2,93.5,9797
1778420206,,,,,,3.99,19.0,93.3,9797
1778420208,,,,,,3.99,20.0,93.3,9797
1778420209,,,,,,3.99,19.1,93.2,9796
1778420210,,,,,,3.99,19.9,93.4,9796
1778420212,,,,,,3.99,21.3,93.3,9796
1778420213,,,,,,3.99,19.2,93.3,9796
1778420214,,,,,,3.99,20.0,93.3,9796
1778420216,,,,,,3.99,20.0,93.5,9796
1778420217,,,,,,3.99,20.1,93.4,9796
1778420218,,,,,,3.99,23.0,93.0,9794
