ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420224,,,,,,4.07,25.1,93.2,9794
1778420226,,,,,,4.15,26.8,93.5,9794
1778420227,,,,,,4.15,26.8,93.1,3330
1778420228,,,,,,4.15,25.5,94.1,9748
1778420230,,,,,,4.15,20.8,94.6,9778
1778420231,,,,,,3.98,21.6,94.7,9779
1778420232,,,,,,3.98,20.5,94.6,9779
1778420234,,,,,,3.98,21.3,94.6,9779
1778420235,,,,,,3.98,21.7,94.8,9779
1778420236,,,,,,3.82,19.2,94.8,9779
1778420238,,,,,,3.82,21.3,94.7,9779
1778420239,,,,,,3.82,21.6,94.7,9779
1778420240,,,,,,3.82,19.2,94.8,9779
1778420242,,,,,,3.83,21.4,94.7,9779
1778420243,,,,,,3.83,22.6,94.8,9779
1778420244,,,,,,3.83,19.6,94.8,9780
1778420246,,,,,,3.76,21.5,95.0,9780
1778420247,,,,,,3.76,21.5,94.9,9780
1778420248,,,,,,3.76,19.8,94.9,9780
1778420250,,,,,,3.76,21.1,95.1,9780
1778420251,,,,,,3.86,21.1,95.1,9780
1778420252,,,,,,3.86,19.5,94.9,9780
1778420254,,,,,,3.86,20.5,94.9,9780
1778420255,,,,,,3.86,20.0,95.0,9780
1778420256,,,,,,3.63,19.3,95.0,9780
1778420258,,,,,,3.63,20.5,94.9,9780
1778420259,,,,,,3.63,19.7,95.0,9780
1778420260,,,,,,3.63,19.2,95.1,9780
1778420262,,,,,,3.58,19.0,95.0,9780
1778420263,,,,,,3.58,20.5,95.0,9780
1778420264,,,,,,3.58,19.3,95.0,9780
1778420266,,,,,,5.14,21.5,95.3,9780
1778420267,,,,,,5.14,18.5,95.2,9780
1778420268,,,,,,5.14,19.6,95.2,9780
1778420270,,,,,,5.14,24.6,95.0,9778
