ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420276,,,,,,4.90,26.0,95.5,9778
1778420277,,,,,,4.90,27.6,95.6,9778
1778420278,,,,,,4.90,22.7,95.5,3727
1778420280,,,,,,4.90,21.3,96.0,9760
1778420281,,,,,,4.59,20.4,96.6,9790
1778420282,,,,,,4.59,20.5,96.6,9792
1778420284,,,,,,4.59,20.6,96.7,9793
1778420285,,,,,,4.59,20.3,96.8,9793
1778420286,,,,,,4.38,20.4,96.8,9793
1778420288,,,,,,4.38,20.0,96.8,9794
1778420289,,,,,,4.38,19.5,96.8,9794
1778420290,,,,,,4.38,19.6,96.9,9794
1778420292,,,,,,4.51,19.0,96.1,9794
1778420293,,,,,,4.51,21.2,96.3,9794
1778420294,,,,,,4.51,20.0,94.7,9794
1778420296,,,,,,4.31,19.9,94.8,9794
1778420297,,,,,,4.31,19.6,94.7,9794
1778420298,,,,,,4.31,19.7,94.7,9794
1778420300,,,,,,4.31,21.1,94.8,9794
1778420301,,,,,,4.28,19.5,94.8,9794
1778420302,,,,,,4.28,19.2,94.6,9794
1778420304,,,,,,4.28,19.3,94.7,9794
1778420305,,,,,,4.28,19.9,94.8,9794
1778420306,,,,,,4.34,25.2,95.3,9794
1778420308,,,,,,4.34,18.1,96.0,9794
1778420309,,,,,,4.34,19.3,96.0,9794
1778420310,,,,,,4.31,18.8,96.6,9794
1778420312,,,,,,4.31,18.6,96.3,9794
1778420313,,,,,,4.31,17.2,95.7,9794
1778420314,,,,,,4.31,18.2,95.7,9794
1778420316,,,,,,4.29,17.3,95.9,9794
1778420317,,,,,,4.29,17.2,95.8,9794
1778420318,,,,,,4.29,17.4,95.8,9794
1778420320,,,,,,4.29,19.3,95.9,9794
1778420321,,,,,,4.10,17.1,96.0,9794
1778420322,,,,,,4.10,17.5,95.9,9794
1778420324,,,,,,4.10,17.4,95.9,9794
1778420325,,,,,,4.10,16.8,96.0,9795
1778420326,,,,,,3.94,17.0,96.0,9795
1778420328,,,,,,3.94,16.2,93.2,9795
1778420329,,,,,,3.94,15.2,93.4,9795
1778420330,,,,,,3.70,15.1,93.6,9795
1778420332,,,,,,3.70,18.1,93.7,9795
1778420333,,,,,,3.70,14.5,93.7,9795
1778420334,,,,,,3.70,15.4,93.8,9795
1778420336,,,,,,3.64,16.0,93.9,9795
1778420337,,,,,,3.64,15.9,93.9,9795
1778420338,,,,,,3.64,15.5,93.4,9795
1778420340,,,,,,3.64,16.8,93.5,9795
1778420341,,,,,,3.83,15.3,93.4,9795
1778420342,,,,,,3.83,13.2,93.5,9795
1778420344,,,,,,3.83,27.5,94.2,9795
1778420345,,,,,,3.83,19.4,92.7,9795
1778420347,,,,,,3.93,15.6,92.6,9795
1778420348,,,,,,3.93,20.9,92.5,9795
1778420349,,,,,,3.93,16.3,92.5,9795
1778420351,,,,,,4.09,16.0,92.6,9795
1778420352,,,,,,4.09,16.3,92.5,9795
1778420353,,,,,,4.09,17.2,92.5,9795
1778420355,,,,,,4.09,16.8,92.6,9795
1778420356,,,,,,3.84,16.6,92.7,9795
1778420357,,,,,,3.84,16.7,92.7,9795
1778420359,,,,,,3.84,16.3,92.8,9795
1778420360,,,,,,3.84,17.0,93.0,9795
1778420361,,,,,,3.78,16.5,93.0,9795
1778420363,,,,,,3.78,17.4,93.0,9795
1778420364,,,,,,3.78,17.4,93.1,9795
1778420365,,,,,,3.78,17.7,93.3,9795
1778420367,,,,,,3.79,18.0,93.2,9795
1778420368,,,,,,3.79,20.9,93.3,9795
1778420369,,,,,,3.79,17.4,93.4,9795
1778420371,,,,,,3.57,17.0,93.6,9795
1778420372,,,,,,3.57,17.7,93.5,9795
1778420373,,,,,,3.57,16.6,93.5,9795
1778420375,,,,,,3.57,18.6,93.7,9795
1778420376,,,,,,3.52,16.7,93.9,9795
1778420377,,,,,,3.52,17.7,93.9,9795
1778420379,,,,,,3.52,17.4,94.0,9795
1778420380,,,,,,3.52,16.7,94.2,9795
1778420381,,,,,,3.48,18.3,94.3,9795
1778420383,,,,,,3.48,17.1,94.3,9795
1778420384,,,,,,3.48,18.3,94.4,9795
1778420385,,,,,,3.48,17.7,94.5,9795
1778420387,,,,,,3.36,24.1,95.6,9795
