ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420773,64,1015,44,13.80,0,1.95,13.4,93.8,9797
1778420775,66,1015,44,13.81,0,1.95,14.8,94.3,9797
1778420777,12,11372,45,37.87,0,2.35,14.4,94.2,9797
1778420779,26,11374,45,45.30,0,2.35,14.2,94.2,9797
1778420781,3,11374,45,33.90,0,2.16,16.4,94.2,9797
1778420783,21,11378,49,87.97,0,2.16,13.6,94.2,9797
1778420785,30,11378,46,54.21,0,2.16,22.5,94.3,9797
1778420787,33,11378,46,42.06,0,2.23,16.3,94.2,9797
1778420788,32,11378,46,41.68,0,2.23,16.1,94.2,9797
1778420790,34,11378,46,41.47,0,2.23,15.4,94.3,9797
1778420792,42,11378,47,41.79,0,2.37,16.4,94.2,9797
1778420794,30,11378,47,41.00,0,2.37,20.7,94.2,9797
1778420796,36,11378,47,40.85,0,2.74,15.7,94.2,9797
1778420798,43,11378,47,40.75,0,2.74,19.1,94.2,9797
1778420799,43,11378,47,40.24,0,2.74,14.6,94.3,9798
1778420801,43,11378,47,40.73,0,2.76,20.2,94.2,9798
1778420803,43,11378,47,40.74,0,2.76,16.3,94.2,9798
1778420805,42,11378,47,40.58,0,2.76,16.5,94.3,9798
1778420807,37,11378,48,39.89,0,2.86,17.0,94.2,9798
1778420809,39,11378,47,40.18,0,2.86,16.5,94.2,9798
1778420811,43,11378,48,40.03,0,2.87,22.1,94.2,9798
1778420813,39,11378,48,40.49,0,2.87,15.9,94.2,9798
1778420814,40,11378,49,40.44,0,2.87,14.8,94.3,9798
1778420816,32,11378,48,40.35,0,2.72,17.2,94.1,9798
1778420818,44,11378,48,40.34,0,2.72,16.2,94.1,9798
1778420820,38,11378,48,40.46,0,2.72,19.8,94.2,9798
1778420822,46,11378,48,40.25,0,2.82,22.2,94.1,9798
1778420824,34,11378,48,40.56,0,2.82,18.3,94.1,9798
1778420825,44,11378,48,40.61,0,2.82,22.3,94.2,9798
1778420827,33,11378,48,40.34,0,3.08,15.8,94.1,9798
1778420829,41,11378,49,39.98,0,3.08,16.4,94.1,9798
1778420831,32,11378,49,39.89,0,2.99,15.0,94.1,9798
1778420833,47,11378,49,40.61,0,2.99,14.3,94.1,9798
1778420834,39,11378,50,40.10,0,2.99,20.5,94.2,9798
1778420836,43,11378,49,40.62,0,3.23,13.7,94.1,9798
1778420838,40,11378,49,40.62,0,3.23,16.8,94.1,9798
1778420840,38,11378,49,40.44,0,3.23,15.7,94.2,9798
