ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420846,30,11378,48,17.52,0,3.27,15.0,94.0,9798
1778420848,37,11378,48,16.38,0,3.27,12.7,94.3,9798
1778420850,92,11394,49,35.06,0,3.27,18.3,94.4,9798
1778420852,4,11394,49,47.07,0,3.09,12.8,94.3,9798
1778420854,26,11396,49,35.39,0,3.09,19.4,94.3,9798
1778420856,27,11396,49,35.86,0,3.16,14.2,94.4,9798
1778420858,49,11396,52,66.03,0,3.16,13.6,94.3,9798
1778420859,18,11404,51,64.17,0,3.16,14.0,94.4,9798
1778420861,27,11404,50,35.26,0,3.23,14.1,94.3,9798
1778420863,31,11404,50,34.28,0,3.23,14.9,94.2,9798
1778420865,35,11404,50,33.57,0,3.13,18.7,94.4,9798
1778420867,36,11404,49,33.28,0,3.13,13.2,94.3,9798
1778420869,40,11404,50,32.99,0,3.13,15.2,94.4,9798
1778420871,42,11404,50,32.75,0,3.44,12.8,94.3,9798
1778420873,41,11404,50,32.79,0,3.44,14.2,94.3,9798
1778420875,42,11404,50,32.33,0,3.44,21.8,94.4,9798
1778420877,37,11404,50,32.64,0,3.56,20.8,94.4,9796
1778420878,35,11404,50,32.41,0,3.56,20.7,94.4,9800
1778420880,38,11404,50,32.59,0,3.56,24.2,94.7,9799
1778420882,33,11404,50,32.56,0,3.60,14.7,95.0,9799
1778420884,39,11404,50,32.55,0,3.60,18.1,95.0,9799
1778420886,45,11404,50,32.43,0,3.39,13.8,95.1,9799
1778420888,44,11404,50,32.39,0,3.39,14.4,95.0,9799
1778420889,35,11404,50,32.14,0,3.39,20.3,95.1,9799
1778420891,33,11404,50,32.02,0,3.28,14.2,95.0,9799
1778420893,42,11404,50,32.54,0,3.28,16.2,94.9,9799
1778420895,33,11404,50,32.15,0,3.28,13.6,95.0,9799
1778420897,33,11404,50,32.11,0,3.18,16.4,94.8,9799
1778420898,33,11404,50,32.22,0,3.18,20.3,94.9,9799
1778420900,36,11404,50,32.31,0,3.18,14.2,94.9,9799
1778420902,9,11404,50,30.70,0,3.08,24.6,94.8,9799
