ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420881,,,,,,3.56,24.2,94.7,9800
1778420882,,,,,,3.60,31.5,94.9,9799
1778420883,,,,,,3.60,14.8,95.0,9799
1778420885,,,,,,3.60,19.7,95.0,9799
1778420886,,,,,,3.39,14.6,95.1,9799
1778420887,,,,,,3.39,14.0,95.0,9799
1778420889,,,,,,3.39,13.2,95.0,9799
1778420890,,,,,,3.39,20.2,95.1,9799
1778420891,,,,,,3.28,16.0,95.1,9799
1778420892,,,,,,3.28,13.3,94.9,9799
1778420894,,,,,,3.28,15.7,94.9,9799
1778420895,,,,,,3.28,15.0,95.0,9799
1778420896,,,,,,3.18,15.2,94.9,9799
1778420898,,,,,,3.18,13.8,94.8,9799
1778420899,,,,,,3.18,20.7,94.8,9799
1778420900,,,,,,3.18,14.9,95.0,9799
1778420902,,,,,,3.08,15.9,94.8,9799
1778420903,,,,,,3.08,21.4,94.8,9799
1778420904,,,,,,3.08,14.2,94.3,9799
1778420906,,,,,,3.08,21.5,94.4,9799
1778420907,,,,,,2.99,20.5,94.3,9799
1778420908,,,,,,2.99,23.5,94.3,9799
1778420909,,,,,,2.99,15.3,94.4,9799
1778420911,,,,,,2.99,15.7,94.8,9799
1778420912,,,,,,2.99,15.5,94.8,9799
1778420913,,,,,,2.99,13.8,94.7,9799
1778420915,,,,,,2.99,17.3,94.8,9799
1778420916,,,,,,2.91,14.7,94.9,9799
1778420917,,,,,,2.91,13.5,94.7,9799
1778420919,,,,,,2.91,14.1,94.7,9799
1778420920,,,,,,2.91,20.4,94.8,9799
1778420921,,,,,,2.68,14.8,94.8,9799
1778420922,,,,,,2.68,12.2,94.6,9799
1778420924,,,,,,2.68,13.7,94.6,9799
1778420925,,,,,,2.68,15.3,94.8,9799
1778420926,,,,,,2.95,14.3,94.6,9799
1778420928,,,,,,2.95,13.3,94.6,9799
1778420929,,,,,,2.95,17.4,94.6,9799
1778420930,,,,,,2.95,14.3,94.7,9799
1778420932,,,,,,2.95,13.9,94.6,9799
1778420933,,,,,,2.95,17.5,94.6,9799
1778420934,,,,,,2.95,15.2,94.6,9799
1778420936,,,,,,2.95,13.6,94.7,9799
1778420937,,,,,,2.79,13.3,94.6,9799
1778420938,,,,,,2.79,18.5,94.6,9799
1778420939,,,,,,2.79,14.2,94.7,9799
1778420941,,,,,,2.79,14.1,94.8,9799
1778420942,,,,,,2.97,19.1,94.8,9799
1778420943,,,,,,2.97,17.5,94.9,9799
1778420945,,,,,,2.97,16.3,95.7,9799
1778420946,,,,,,3.05,17.8,95.7,9799
1778420947,,,,,,3.05,14.6,95.6,9799
1778420949,,,,,,3.05,13.5,95.6,9799
1778420950,,,,,,3.05,18.2,95.7,9799
1778420951,,,,,,2.89,14.2,95.7,9799
1778420953,,,,,,2.89,14.7,95.6,9799
1778420954,,,,,,2.89,14.2,95.6,9798
1778420955,,,,,,2.89,21.2,95.8,9799
1778420957,,,,,,2.66,14.9,95.6,9799
1778420958,,,,,,2.66,14.2,95.6,9799
1778420959,,,,,,2.66,13.8,95.6,9799
1778420961,,,,,,2.66,15.6,95.7,9799
1778420962,,,,,,2.92,14.3,95.5,9799
1778420963,,,,,,2.92,13.7,95.6,9799
1778420965,,,,,,2.92,15.3,95.7,9799
1778420966,,,,,,2.85,18.2,95.7,9799
1778420967,,,,,,2.85,19.0,95.6,9799
1778420969,,,,,,2.85,13.9,95.6,9799
1778420970,,,,,,2.85,14.6,95.7,9799
1778420971,,,,,,2.86,13.8,95.7,9799
1778420973,,,,,,2.86,17.9,95.6,9799
1778420974,,,,,,2.86,14.9,95.5,9799
1778420975,,,,,,2.86,13.7,95.6,9799
1778420977,,,,,,2.79,19.3,95.4,9799
1778420978,,,,,,2.79,13.8,95.5,9799
1778420979,,,,,,2.79,14.0,95.4,9799
1778420981,,,,,,2.79,14.5,95.5,9799
1778420982,,,,,,2.73,19.1,95.4,9799
1778420983,,,,,,2.73,14.8,95.4,9799
1778420985,,,,,,2.73,15.5,95.4,9799
1778420986,,,,,,2.73,15.3,95.5,9799
1778420987,,,,,,2.83,32.2,95.5,9799
1778420988,,,,,,2.83,14.1,95.5,9799
1778420990,,,,,,2.83,15.2,95.5,9799
1778420991,,,,,,2.92,21.0,95.6,9799
1778420993,,,,,,2.92,14.9,95.5,9799
