ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778420909,37,11404,49,16.75,0,2.99,14.2,94.4,9799
1778420910,25,11404,49,14.77,0,2.99,20.2,94.8,9799
1778420912,4,9162,50,33.97,0,2.99,14.1,94.7,9799
1778420914,13,9162,51,48.58,0,2.99,15.8,94.7,9799
1778420916,13,9162,50,34.60,0,2.91,15.3,94.9,9799
1778420917,3,9162,50,34.49,0,2.91,14.3,94.7,9799
1778420919,24,9162,50,22.11,0,2.91,21.0,94.8,9799
1778420921,28,9162,50,16.59,0,2.68,12.7,94.7,9799
1778420923,97,10914,55,87.56,0,2.68,14.3,94.6,9799
1778420925,7,10914,53,75.99,0,2.68,14.8,94.8,9799
1778420927,25,10914,52,45.52,0,2.95,15.1,94.6,9799
1778420929,12,10914,53,67.70,0,2.95,18.7,94.6,9799
1778420930,46,10914,53,45.63,0,2.95,14.4,94.7,9799
1778420932,15,10914,53,59.85,0,2.95,17.0,94.6,9799
1778420934,45,10914,54,44.02,0,2.95,13.6,94.6,9799
1778420936,24,10914,56,53.23,0,2.79,14.1,94.6,9799
1778420938,45,10914,53,59.94,0,2.79,18.7,94.6,9799
1778420940,21,10914,53,47.04,0,2.79,13.1,94.8,9799
1778420941,34,10914,53,54.21,0,2.97,20.1,94.7,9799
1778420943,24,10914,53,54.68,0,2.97,12.6,95.5,9799
1778420946,22,10914,53,46.12,0,3.05,20.5,95.7,9799
1778420947,11,10914,54,60.26,0,3.05,15.0,95.6,9799
1778420949,11,10914,53,45.57,0,3.05,18.2,95.7,9799
1778420951,45,10914,53,46.49,0,2.89,13.8,95.6,9799
1778420953,23,10914,54,59.82,0,2.89,13.4,95.6,9799
1778420955,35,10914,53,44.74,0,2.89,21.2,95.8,9799
1778420957,15,10914,55,61.43,0,2.66,13.8,95.6,9799
1778420959,46,10914,54,45.42,0,2.66,14.3,95.6,9799
1778420960,11,10914,54,61.50,0,2.92,15.3,95.7,9799
1778420962,15,10914,54,44.42,0,2.92,13.7,95.6,9799
1778420964,24,10914,58,65.65,0,2.92,13.9,95.7,9799
1778420967,27,10914,54,45.88,0,2.85,17.7,95.6,9799
1778420969,24,10914,54,53.69,0,2.85,14.1,95.6,9799
1778420970,23,10914,54,47.04,0,2.85,13.7,95.6,9799
1778420972,23,10914,57,57.87,0,2.86,19.1,95.5,9799
1778420974,30,10914,55,53.60,0,2.86,14.5,95.5,9799
1778420976,24,10914,57,51.63,0,2.79,18.9,95.5,9799
1778420978,32,10914,55,56.97,0,2.79,14.5,95.4,9799
1778420980,45,10914,56,45.97,0,2.79,14.8,95.6,9799
1778420981,16,10914,56,61.58,0,2.73,19.6,95.4,9799
1778420983,22,10914,55,44.97,0,2.73,14.5,95.4,9799
1778420985,24,10914,56,59.03,0,2.73,15.8,95.5,9799
1778420987,16,10914,55,44.23,0,2.83,27.7,95.5,9799
1778420989,9,10914,56,49.98,0,2.83,17.6,95.4,9799
1778420991,47,10914,57,61.75,0,2.92,20.8,95.6,9799
1778420993,25,10914,56,46.03,0,2.92,14.0,95.4,9799
1778420994,24,10914,58,58.07,0,2.92,17.8,95.6,9799
1778420996,37,10914,56,46.07,0,3.17,13.9,95.4,9799
1778420998,7,10914,56,52.20,0,3.17,24.0,95.4,9799
1778421000,21,10914,55,50.54,0,3.17,20.0,95.8,9799
1778421002,5,10914,55,38.98,0,3.16,18.5,94.9,9799
