ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421009,31,10914,54,18.41,0,3.06,15.9,95.0,9799
1778421011,67,11095,54,17.80,0,2.90,22.9,95.5,9799
1778421012,3,9162,56,39.52,0,2.90,14.4,95.4,9799
1778421014,25,9162,55,46.69,0,2.90,20.7,95.5,9799
1778421016,40,10940,55,35.60,0,3.07,14.1,95.4,9799
1778421018,23,10940,58,101.40,30,3.07,18.2,95.4,9799
1778421020,45,10940,55,55.11,30,3.07,14.2,95.5,9799
1778421022,14,10940,56,54.34,30,2.98,12.1,95.4,9799
1778421024,40,10940,55,45.76,30,2.98,17.2,95.4,9799
1778421026,45,10940,53,46.47,30,2.82,14.9,95.5,9799
1778421028,46,10940,53,54.36,30,2.82,25.6,95.4,9799
1778421029,23,10940,54,44.61,30,2.82,14.7,95.5,9799
1778421031,24,10940,54,48.71,30,3.00,14.7,95.4,9799
1778421033,44,10940,51,55.01,30,3.00,13.2,95.4,9799
1778421035,13,10940,51,44.81,30,3.00,14.1,95.5,9799
1778421037,20,10940,52,55.46,30,3.08,15.5,95.4,9799
1778421039,44,10940,50,45.03,30,3.08,14.5,95.4,9799
1778421041,23,10940,49,57.68,30,2.83,19.3,94.9,9799
1778421043,46,10940,49,44.70,30,2.83,14.1,94.8,9799
1778421045,19,10940,49,55.52,30,2.83,18.2,94.9,9799
1778421047,46,10940,48,44.02,30,2.76,20.0,94.7,9799
1778421049,11,10940,48,54.51,30,2.76,18.3,94.6,9799
1778421050,45,10940,47,43.78,30,2.76,13.5,94.7,9799
1778421052,24,10940,50,46.79,30,2.78,13.5,94.5,9799
1778421054,42,10940,47,50.40,30,2.78,25.3,94.5,9799
1778421056,17,10940,48,43.11,30,2.64,13.6,94.6,9799
1778421058,23,10940,48,47.41,30,2.64,20.8,94.5,9799
1778421059,28,10940,46,48.56,30,2.64,14.4,94.6,9799
1778421061,39,10940,47,44.13,30,2.67,13.8,94.5,9799
1778421063,17,10940,47,65.42,30,2.67,19.8,94.5,9799
1778421065,19,10940,47,43.72,30,2.67,13.6,94.6,9799
1778421067,46,10940,45,43.98,0,2.53,13.7,94.5,9799
1778421069,24,10940,46,54.51,0,2.53,13.8,94.5,9799
1778421070,31,10940,47,43.26,0,2.53,13.1,94.6,9799
1778421072,15,10940,47,45.80,0,2.41,19.5,94.5,9799
1778421074,46,10940,46,50.19,0,2.41,14.7,94.5,9799
1778421076,14,10940,47,52.84,0,2.38,17.6,94.6,9799
1778421078,45,10940,46,42.97,0,2.38,13.4,94.5,9799
1778421080,24,10940,47,49.90,0,2.38,16.2,94.6,9799
1778421082,46,10940,46,46.37,0,2.51,14.1,94.5,9799
1778421084,46,10940,47,44.45,0,2.51,17.9,94.6,9799
1778421086,47,10940,47,64.40,0,2.63,13.8,94.6,9799
1778421088,5,10940,49,42.61,0,2.63,19.4,94.5,9799
1778421090,24,10940,50,46.81,0,2.63,31.4,94.6,9799
1778421091,5,10940,47,37.20,0,2.58,18.2,94.1,9799
