ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421098,32,10940,46,16.19,0,2.69,19.1,94.4,9799
1778421100,31,10940,46,15.93,0,2.69,13.8,94.9,9799
1778421102,7,7212,47,33.90,0,2.63,16.7,94.7,9799
1778421104,36,9162,48,49.48,0,2.63,13.5,94.7,9799
1778421106,4,10766,47,34.63,0,2.66,13.3,94.8,9799
1778421108,10,10914,51,117.04,0,2.66,14.6,94.7,9799
1778421110,45,10914,49,60.10,0,2.66,14.1,94.8,9799
1778421112,23,10914,51,47.71,0,3.01,12.8,94.7,9799
1778421114,45,10914,49,50.20,0,3.01,16.8,94.7,9799
1778421116,24,10914,49,52.00,0,2.93,13.9,94.7,9799
1778421117,14,10914,51,46.41,0,2.93,18.3,94.7,9799
1778421119,43,10914,50,44.47,0,2.93,19.2,94.8,9799
1778421121,23,10914,50,61.09,0,2.85,13.4,94.7,9799
1778421123,42,10914,50,43.87,0,2.85,21.3,94.7,9799
1778421125,23,10914,50,59.86,0,2.85,13.5,94.8,9799
1778421127,38,10914,50,47.24,0,2.87,13.8,94.7,9799
1778421129,17,10914,51,58.47,0,2.87,14.1,94.7,9799
1778421130,24,10914,52,43.54,0,2.64,14.2,94.7,9799
1778421132,47,10914,50,44.89,0,2.64,20.0,94.7,9799
1778421134,47,10914,50,55.42,0,2.64,13.7,94.8,9799
1778421136,12,10914,52,44.71,0,2.50,13.8,94.8,9799
1778421138,24,10914,51,54.46,0,2.50,20.4,94.7,9799
