ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421144,28,10914,50,20.96,0,2.70,16.5,94.6,9799
1778421146,5,1015,50,20.91,0,2.81,13.7,94.9,9799
1778421148,3,9162,51,37.17,0,2.81,18.4,94.9,9799
1778421150,29,9162,51,46.46,0,2.81,13.3,95.0,9799
1778421151,16,10914,51,34.94,0,2.90,13.1,94.9,9799
1778421153,12,10914,54,94.13,0,2.90,20.5,94.8,9799
1778421155,9,10914,52,48.13,0,2.90,14.1,94.9,9799
1778421157,21,10914,53,61.19,0,2.99,13.1,94.8,9799
1778421159,22,10914,52,44.99,0,2.99,15.9,94.7,9799
1778421160,23,10914,53,58.79,0,2.99,14.2,94.7,9799
1778421162,10,10914,52,58.61,0,3.31,19.4,94.8,9799
1778421164,46,10914,54,45.62,0,3.31,14.2,94.7,9799
1778421166,12,10914,53,56.02,0,3.29,13.7,94.7,9799
1778421168,47,10914,54,44.25,0,3.29,19.8,94.7,9799
1778421169,23,10914,52,45.02,0,3.29,13.2,94.8,9799
1778421171,13,10914,53,46.04,0,3.42,16.3,94.7,9799
1778421173,11,10914,54,71.93,0,3.42,14.2,94.7,9799
1778421175,24,10914,53,51.82,0,3.42,13.3,94.8,9799
1778421177,12,10914,53,53.39,0,3.39,20.1,94.7,9799
1778421179,40,10914,53,45.23,0,3.39,13.8,94.6,9799
1778421180,15,10914,54,61.69,0,3.39,14.7,94.7,9799
1778421182,9,10914,53,45.43,0,3.28,14.3,94.6,9799
1778421184,24,10914,54,55.03,0,3.28,14.1,94.6,9799
1778421186,26,10914,53,44.68,0,3.10,17.7,94.6,9799
1778421188,45,10914,54,46.71,0,3.10,14.2,94.5,9799
1778421190,47,10914,56,66.38,0,3.10,18.2,94.6,9799
1778421192,41,10914,54,45.43,0,3.09,13.8,94.5,9799
1778421194,24,10914,59,77.91,0,3.09,18.3,94.5,9799
1778421195,47,10914,56,46.13,0,3.00,13.8,94.5,9799
1778421197,46,10914,56,58.50,0,3.00,16.9,94.5,9799
1778421199,36,10914,54,44.99,0,3.00,15.4,94.6,9799
1778421201,11,10914,55,58.11,0,2.92,16.5,94.5,9799
1778421203,45,10914,56,45.78,0,2.92,16.2,94.5,9799
1778421205,24,10914,58,60.01,0,2.92,14.5,94.6,9799
1778421207,33,10914,55,45.60,0,3.01,19.4,94.5,9799
1778421209,46,10914,57,46.28,0,3.01,13.5,94.5,9799
1778421211,47,10914,57,66.34,0,3.49,20.5,94.5,9799
1778421213,39,10914,56,46.19,0,3.49,13.8,94.5,9799
1778421215,5,10914,55,45.29,0,3.49,16.5,94.1,9799
