ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421221,32,10914,54,18.49,0,3.57,19.5,94.4,9799
1778421223,33,10923,54,17.78,0,3.57,16.2,94.7,9799
1778421225,5,9162,54,35.10,0,3.57,14.0,94.8,9799
1778421226,24,9162,55,50.73,0,3.93,19.6,94.7,9799
1778421228,3,10914,55,34.85,0,3.93,14.6,94.6,9799
1778421230,11,10914,57,109.07,0,3.93,13.6,94.7,9799
1778421232,45,10914,57,56.51,0,3.77,13.6,94.6,9800
1778421234,46,10914,56,46.32,0,3.77,13.5,94.6,9800
1778421236,23,10914,61,75.14,0,3.71,16.6,94.6,9800
1778421237,24,10914,56,51.55,0,3.71,18.7,94.6,9800
1778421239,16,10914,56,48.74,0,3.71,19.8,94.7,9800
1778421241,24,10914,57,48.11,0,3.65,14.2,94.7,9800
1778421243,47,10914,57,51.93,0,3.65,28.5,95.5,9800
1778421245,36,10914,56,45.73,0,3.65,14.7,95.5,9800
1778421247,23,10914,57,57.63,0,3.68,14.6,95.4,9800
1778421249,46,10914,57,46.42,0,3.68,17.5,95.4,9800
1778421251,46,10914,57,59.00,0,3.46,14.6,95.4,9800
1778421254,14,10914,57,46.56,0,3.46,13.2,95.4,9800
1778421256,11,10914,57,58.77,0,3.43,15.3,95.4,9800
1778421257,45,10914,57,45.93,0,3.43,13.3,95.4,9800
1778421259,45,10914,57,46.57,0,3.43,20.7,95.5,9800
1778421261,46,10914,57,66.37,0,3.23,17.2,95.3,9800
1778421263,28,10914,58,46.92,0,3.23,13.9,95.4,9800
1778421265,24,10914,57,59.27,0,3.23,18.3,95.4,9800
1778421267,46,10914,57,46.64,0,3.13,14.1,95.3,9800
1778421268,24,10914,59,53.59,0,3.13,17.8,95.3,9800
1778421270,42,10914,57,46.83,0,3.12,14.1,95.3,9800
1778421273,18,10914,58,56.36,0,3.12,14.1,95.2,9800
1778421275,46,10914,57,47.43,0,3.12,18.7,95.3,9800
1778421277,24,10914,60,56.36,0,3.19,13.5,95.2,9800
1778421279,33,10914,58,60.41,0,3.19,17.0,95.3,9800
1778421281,12,10914,59,55.56,0,3.50,14.4,95.2,9800
1778421283,6,10914,57,44.89,0,3.50,12.9,94.8,9800
