ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421289,31,10914,56,20.53,0,3.70,15.2,95.1,9800
1778421291,32,10914,56,18.94,0,5.16,20.5,95.4,9800
1778421293,23,6060,57,36.00,0,5.16,13.5,95.4,9800
1778421295,29,9162,58,52.96,0,5.16,14.3,95.5,9800
1778421296,3,10940,57,35.24,0,4.91,18.2,95.4,9800
1778421298,12,10940,61,139.04,30,4.91,25.4,98.0,9800
1778421300,29,10940,59,69.27,30,4.91,32.0,99.7,9800
1778421302,23,10940,59,58.19,30,4.92,25.9,99.7,9800
1778421304,38,10940,56,46.57,30,4.92,22.4,99.7,9800
1778421306,7,10940,56,57.10,33,4.60,30.4,99.7,9799
1778421308,13,10940,56,50.05,35,4.60,18.1,99.7,9798
1778421310,44,10940,54,47.01,36,4.60,14.7,99.7,9798
1778421311,24,10940,55,71.88,36,4.39,15.7,99.6,9798
1778421313,35,10940,53,49.26,36,4.39,13.4,99.6,9798
1778421315,15,10940,54,58.74,35,4.39,16.9,99.7,9798
1778421317,9,10940,53,50.00,35,4.44,12.9,99.6,9798
1778421319,24,10940,51,54.19,35,4.44,15.7,99.7,9798
1778421320,46,10940,50,48.69,34,4.44,18.6,99.7,9798
1778421322,16,10940,51,47.74,33,4.49,14.2,99.6,9798
1778421324,46,10940,49,51.03,32,4.49,23.0,99.7,9798
1778421326,31,10940,50,45.44,31,4.21,13.8,99.6,9798
1778421328,23,10940,51,57.48,30,4.21,19.5,99.6,9798
1778421330,46,10940,48,44.13,30,4.21,13.7,99.2,9798
1778421332,19,10940,50,46.66,30,4.03,13.5,99.1,9798
1778421334,46,10940,47,53.14,30,4.03,13.7,99.3,9798
1778421336,32,10940,47,43.63,30,4.03,13.6,99.3,9798
1778421338,23,10940,48,55.12,30,4.03,20.5,99.2,9798
1778421339,41,10940,47,42.79,30,4.03,13.2,99.4,9798
1778421341,5,10940,46,41.30,30,3.79,15.2,99.1,9798
