ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421348,34,10940,44,15.65,0,3.88,21.7,99.5,9798
1778421350,25,10940,44,14.07,0,3.88,15.8,99.6,9798
1778421352,4,1208,45,28.48,0,3.81,18.5,99.5,9798
1778421354,26,9182,46,47.84,0,3.81,13.1,99.5,9798
1778421355,4,9178,46,33.70,0,3.81,12.6,99.6,9797
1778421357,98,10930,59,106.77,0,3.91,19.2,99.5,9797
1778421359,23,10930,49,66.23,0,3.91,13.9,99.5,9797
1778421361,24,10930,50,50.49,0,4.07,18.6,99.5,9797
1778421363,40,10930,49,61.51,0,4.07,13.3,99.4,9797
1778421365,24,10930,49,52.95,0,4.07,14.7,99.6,9797
1778421366,45,10930,47,43.94,0,3.99,18.7,99.4,9797
1778421368,24,10930,48,57.07,0,3.99,14.5,99.4,9797
1778421370,45,10930,48,43.82,0,3.99,17.2,99.5,9798
1778421372,24,10930,49,57.42,0,3.75,14.7,99.4,9798
1778421374,26,10930,50,44.12,0,3.75,15.9,99.4,9798
1778421376,24,10930,51,60.40,0,3.77,14.7,99.3,9798
1778421378,40,10930,50,43.98,0,3.77,13.3,99.3,9798
1778421380,24,10930,52,60.74,0,3.77,13.5,99.3,9798
1778421382,45,10930,49,44.67,0,3.63,14.5,99.2,9798
1778421383,24,10930,52,57.25,0,3.63,17.8,99.2,9798
1778421385,45,10930,49,43.78,0,3.63,14.2,99.2,9798
1778421387,13,10930,50,44.06,0,3.42,17.2,99.1,9798
1778421389,23,10930,52,55.74,0,3.42,13.6,99.1,9798
1778421391,47,10930,51,47.02,0,3.78,14.2,99.1,9798
1778421393,20,10930,50,45.32,0,3.78,20.4,99.0,9798
1778421394,24,10930,50,56.52,0,3.78,14.3,99.1,9798
1778421396,17,10930,50,44.55,0,3.72,14.8,99.0,9798
1778421398,24,10930,53,53.95,0,3.72,14.0,99.0,9798
1778421400,39,10930,50,61.22,0,3.72,13.3,99.2,9798
1778421402,24,10930,51,51.99,0,3.50,20.7,99.1,9798
1778421403,5,10930,50,41.56,0,3.50,13.2,98.6,9798
