ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421410,30,10930,49,18.62,0,3.78,15.0,99.1,9798
1778421412,31,11111,49,15.99,0,3.56,17.0,99.3,9798
1778421414,4,9178,51,36.99,0,3.56,12.5,99.3,9798
1778421416,25,9178,51,50.58,0,3.27,18.2,99.3,9788
1778421418,8,10956,50,34.81,0,3.27,19.9,99.3,9788
1778421419,23,10956,57,94.26,0,3.27,14.4,99.4,9788
1778421421,10,10956,52,63.96,0,3.49,15.7,99.3,9788
1778421423,45,10956,52,45.53,0,3.49,14.4,99.3,9788
1778421425,22,10956,54,59.86,0,3.49,21.8,99.4,9788
1778421427,45,10956,52,45.71,0,3.37,13.2,99.3,9788
