ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421492,32,10956,54,17.92,0,3.01,20.2,96.9,134
1778421494,62,10956,54,17.32,0,3.01,14.2,97.5,134
1778421496,97,9178,55,36.21,0,3.09,23.7,97.4,134
1778421498,27,9178,56,51.86,0,3.09,16.8,97.4,134
1778421500,24,10956,55,35.18,0,3.09,14.1,97.6,134
1778421502,11,10956,58,112.58,30,8.61,15.1,98.1,134
1778421504,23,10956,55,55.77,30,8.61,17.3,98.4,134
1778421506,46,10956,54,58.96,30,8.24,18.7,97.6,134
1778421509,16,10956,54,47.23,30,8.24,16.0,97.6,134
1778421511,11,10956,54,57.90,30,7.98,12.4,97.6,134
1778421513,11,10956,55,47.70,30,7.98,10.8,97.6,134
1778421515,44,10956,52,53.44,30,7.98,12.1,97.7,134
1778421516,18,10956,52,53.59,30,7.42,12.2,97.6,134
1778421518,7,10956,52,45.66,30,7.42,16.5,97.6,134
1778421520,23,10956,53,53.39,30,7.42,11.8,97.7,134
1778421522,46,10956,50,47.47,30,6.91,16.4,95.3,134
1778421524,45,10956,49,45.31,30,6.91,14.6,95.6,134
1778421526,12,10956,50,61.95,30,6.67,11.6,95.4,134
1778421528,19,10956,49,51.45,30,6.67,10.6,95.3,134
1778421530,23,10956,49,55.26,30,6.67,13.2,95.4,134
1778421532,46,10956,48,47.79,30,6.22,11.5,95.3,134
1778421534,10,10956,49,55.13,30,6.22,14.7,95.3,134
1778421536,14,10956,48,48.78,30,5.80,12.0,95.4,134
1778421538,39,10956,47,43.98,30,5.80,13.5,95.3,135
1778421540,15,10956,49,68.25,30,5.80,10.3,95.4,135
1778421541,46,10956,46,44.15,30,5.58,18.5,95.4,135
1778421543,10,10956,47,54.30,30,5.58,15.4,96.9,135
1778421546,45,10956,46,43.30,30,5.29,14.4,96.9,135
1778421548,13,10956,46,46.64,30,5.29,10.1,96.8,135
1778421550,37,10956,47,52.35,30,5.29,15.0,96.9,135
1778421551,11,10956,46,51.24,0,4.87,10.7,96.8,135
1778421553,34,10956,46,43.12,0,4.87,18.4,96.8,135
1778421555,10,10956,47,43.69,0,4.72,9.8,97.0,135
1778421558,23,10956,47,64.36,0,4.72,10.2,96.8,135
1778421559,15,10956,46,42.33,0,4.72,11.1,96.9,135
1778421561,21,10956,47,58.08,0,4.34,12.7,96.8,135
1778421565,18,10956,48,42.44,0,4.34,12.0,96.9,135
1778421567,24,10956,47,58.03,0,4.07,11.7,96.8,135
1778421569,46,10956,47,42.66,0,4.07,14.3,96.8,135
1778421571,10,10956,48,43.63,0,3.98,11.8,96.9,135
1778421573,24,10956,48,56.81,0,3.98,11.3,96.8,135
1778421574,20,10956,49,42.88,0,3.98,18.9,96.8,135
1778421576,23,10956,51,49.05,0,3.83,11.8,96.7,135
1778421578,33,10956,48,54.89,0,3.83,10.7,96.7,135
1778421580,30,10956,49,47.02,0,3.83,12.5,96.8,135
1778421582,24,10956,48,57.49,0,3.84,11.0,96.7,135
1778421583,24,10956,50,44.40,0,3.84,16.4,96.7,135
1778421585,25,10956,49,59.87,0,3.84,11.2,96.8,135
1778421587,44,10956,48,44.27,0,3.61,10.5,96.6,136
1778421589,24,10956,52,57.22,0,3.61,15.4,96.7,136
1778421591,46,10956,49,44.22,0,3.61,10.7,96.8,136
1778421592,24,10956,52,53.10,0,3.40,14.2,96.7,136
1778421594,46,10956,49,47.53,0,3.40,12.7,96.8,136
1778421596,46,10956,49,44.60,0,3.13,11.6,96.7,136
1778421598,24,10956,49,57.64,0,3.13,17.8,96.7,136
1778421600,46,10956,49,45.22,0,3.13,12.2,97.1,136
1778421602,15,10956,50,46.25,0,3.12,12.4,96.7,136
1778421603,48,10956,49,50.94,0,3.12,11.9,96.7,136
1778421605,24,10956,50,51.83,0,3.11,9.5,96.7,136
1778421608,46,10956,50,53.39,0,3.11,15.9,96.8,136
1778421610,44,10956,51,45.39,0,3.11,10.5,96.8,136
1778421612,6,10949,49,24.25,0,2.86,19.2,96.4,136
