ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421620,28,10949,49,15.78,0,2.95,17.8,98.0,136
1778421623,4,1205,49,17.80,0,2.95,15.8,98.1,136
1778421625,26,9171,51,47.55,0,2.95,25.7,99.0,136
1778421627,68,10949,53,37.67,0,2.95,19.2,99.0,136
1778421630,23,10949,57,75.69,0,2.95,13.7,99.0,136
1778421632,19,10949,52,43.50,0,2.96,20.2,99.1,136
1778421634,20,10949,53,49.12,0,2.96,14.9,99.1,136
1778421636,45,10949,51,46.98,0,2.72,18.4,99.1,136
1778421638,23,10949,53,53.77,0,2.72,14.8,99.2,136
1778421640,26,10949,52,48.04,0,2.72,20.7,99.6,136
1778421642,45,10949,52,45.47,0,2.50,11.3,99.6,136
1778421644,47,10949,52,56.44,0,2.50,14.3,99.7,136
1778421646,24,10949,53,57.99,0,2.54,13.5,99.2,136
1778421650,35,10949,52,48.25,0,2.54,21.5,99.3,136
1778421652,24,10949,54,54.86,0,2.42,17.5,99.2,136
1778421654,46,10949,54,45.65,0,2.42,16.1,99.3,136
1778421657,46,10949,54,56.47,0,2.30,14.1,99.0,136
1778421658,17,10949,53,44.87,0,2.30,13.2,99.0,136
1778421660,24,10949,55,63.20,0,2.30,18.3,99.0,136
1778421662,29,10949,53,44.92,0,2.36,20.8,99.2,136
1778421666,37,10949,53,48.44,0,2.57,19.6,99.4,136
1778421669,45,10949,55,46.12,0,2.57,17.8,99.4,136
1778421670,47,10949,56,59.50,0,2.57,25.6,99.3,136
1778421673,24,10949,55,56.59,0,2.68,18.0,99.2,136
1778421675,46,10949,54,45.17,0,2.68,17.9,99.2,136
1778421677,24,10949,54,56.83,0,2.63,21.9,99.2,136
1778421679,45,10949,55,50.88,0,2.63,20.1,99.3,136
1778421681,21,10949,55,48.56,0,2.74,24.3,99.4,136
1778421683,46,10949,56,57.25,0,2.74,19.9,99.2,136
1778421685,14,10949,54,45.83,0,2.74,18.6,99.4,136
1778421687,23,10949,57,60.07,0,2.76,24.4,99.2,136
1778421689,44,10949,54,45.26,0,2.76,17.7,99.2,136
1778421691,19,10949,55,48.30,0,2.76,19.2,99.3,136
1778421692,4,10949,54,41.52,0,2.86,22.3,98.9,136
