ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778421699,32,10949,53,17.45,0,2.95,21.5,99.1,136
1778421701,60,10949,53,16.78,0,3.03,86.8,99.3,136
1778421703,11,1024,54,28.71,0,3.03,19.7,99.5,136
1778421705,29,9171,55,49.53,0,3.03,19.1,99.5,136
1778421707,4,9171,54,35.32,0,3.11,25.5,99.4,
1778421709,10,10949,58,131.69,0,3.11,17.4,99.3,136
1778421711,46,10949,57,68.06,0,2.86,24.4,99.4,136
1778421713,10,10949,55,46.07,0,2.86,19.3,99.5,136
1778421715,24,10949,57,58.88,0,2.86,18.3,99.4,132
1778421717,10,10949,55,45.45,0,3.11,22.1,99.4,121
1778421718,45,10949,55,47.04,0,3.11,17.1,99.3,121
1778421721,23,10949,60,72.84,0,3.11,24.1,99.4,121
1778421722,17,10949,56,48.40,0,3.18,19.2,99.3,121
1778421724,12,10949,57,67.89,0,3.18,22.2,99.5,121
1778421726,45,10949,58,46.79,0,3.25,19.3,99.2,121
1778421728,14,10949,57,68.90,0,3.25,18.9,99.2,121
1778421730,46,10949,56,46.35,0,3.25,25.2,99.4,121
1778421732,14,10949,57,56.60,0,3.23,20.5,99.2,121
1778421733,46,10949,58,46.09,0,3.23,52.3,98.1,121
1778421736,24,10949,58,51.77,0,3.23,14.3,97.0,121
1778421738,23,10949,57,48.85,0,3.21,15.2,96.9,121
1778421739,13,10949,56,45.73,0,3.21,20.5,97.0,121
1778421741,23,10949,60,57.77,0,3.11,15.2,96.9,121
1778421743,40,10949,58,51.42,0,3.11,28.2,96.8,121
1778421745,21,10949,57,55.24,0,3.11,18.0,95.1,121
1778421747,46,10949,57,53.92,0,3.34,14.6,95.0,121
1778421749,46,10949,59,47.18,0,3.34,18.3,94.9,121
1778421750,46,10949,58,68.67,0,3.34,15.0,94.9,121
1778421752,27,10949,57,46.22,0,3.32,18.9,94.8,121
1778421754,24,10949,57,59.09,0,3.32,18.6,94.8,121
1778421756,46,10949,59,46.80,0,3.32,15.3,94.8,121
1778421758,24,10949,58,58.57,0,3.21,21.7,94.8,121
1778421760,46,10949,59,54.31,0,3.21,18.1,95.0,121
1778421761,45,10949,58,46.91,0,3.19,36.1,96.6,121
1778421764,34,10949,59,51.30,0,3.19,31.5,97.5,121
1778421766,15,10949,58,45.95,0,3.19,35.5,95.4,121
1778421768,24,10949,61,55.95,0,4.70,21.7,95.4,121
1778421769,19,10949,59,45.50,0,4.70,15.9,95.5,121
1778421771,4,10949,57,35.01,0,4.64,16.6,94.9,121
