ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422092,,,,,,3.82,19.4,94.2,9794
1778422093,,,,,,3.82,30.3,94.6,9793
1778422095,,,,,,3.82,14.2,94.7,9795
1778422096,,,,,,3.82,15.2,94.7,9795
1778422097,,,,,,3.84,19.9,94.6,9795
1778422099,,,,,,3.84,15.1,94.6,9795
1778422100,,,,,,3.84,15.1,94.7,9795
1778422101,,,,,,3.84,21.4,95.5,9795
1778422102,,,,,,4.17,14.4,95.2,9795
1778422104,,,,,,4.17,14.3,95.2,9795
1778422105,,,,,,4.17,15.7,95.3,9795
1778422106,,,,,,4.17,14.5,95.3,9795
1778422108,,,,,,4.40,14.1,95.2,9795
1778422109,,,,,,4.40,14.2,95.2,9795
1778422110,,,,,,4.40,13.8,95.3,9795
1778422112,,,,,,4.20,13.2,95.2,9795
1778422113,,,,,,4.20,17.3,95.2,9795
1778422114,,,,,,4.20,14.5,95.2,9795
1778422116,,,,,,4.20,14.3,95.3,9795
1778422117,,,,,,4.43,14.7,95.2,9795
1778422118,,,,,,4.43,21.3,95.2,9795
1778422120,,,,,,4.43,14.7,95.2,9795
1778422121,,,,,,4.43,14.2,95.3,9795
1778422122,,,,,,4.23,13.8,95.2,9795
1778422123,,,,,,4.23,15.8,95.2,9795
1778422125,,,,,,4.23,16.0,95.3,9795
1778422126,,,,,,4.23,14.7,95.3,9795
1778422127,,,,,,4.05,20.9,95.2,9795
1778422129,,,,,,4.05,15.2,95.2,9795
1778422130,,,,,,4.05,14.6,95.3,9795
1778422131,,,,,,4.05,18.6,94.7,9795
1778422133,,,,,,4.37,14.5,94.6,9795
1778422134,,,,,,4.37,16.4,94.6,9795
1778422135,,,,,,4.37,20.1,94.7,9795
1778422137,,,,,,4.18,14.7,94.6,9795
1778422138,,,,,,4.18,18.3,94.6,9795
1778422139,,,,,,4.18,13.7,94.6,9795
1778422141,,,,,,4.18,25.6,94.8,9795
1778422142,,,,,,4.32,14.1,94.7,9795
1778422143,,,,,,4.32,13.3,94.7,9796
1778422144,,,,,,4.32,20.3,95.5,9796
1778422146,,,,,,4.32,15.2,95.5,9796
1778422147,,,,,,4.30,13.3,95.4,9796
1778422148,,,,,,4.30,14.3,95.4,9796
1778422150,,,,,,4.30,14.4,95.5,9796
1778422151,,,,,,4.30,14.9,95.5,9796
1778422152,,,,,,3.95,14.0,95.4,9796
1778422154,,,,,,3.95,20.7,95.4,9796
1778422155,,,,,,3.95,15.3,95.5,9796
1778422156,,,,,,3.95,14.0,95.5,9796
1778422158,,,,,,4.04,13.1,95.4,9796
1778422159,,,,,,4.04,18.1,95.4,9796
1778422160,,,,,,4.04,14.9,95.5,9796
1778422162,,,,,,3.87,15.1,95.4,9796
1778422163,,,,,,3.87,20.5,95.4,9796
1778422164,,,,,,3.87,15.0,95.4,9796
1778422166,,,,,,3.87,14.6,95.5,9796
1778422167,,,,,,3.88,16.4,95.4,9796
1778422168,,,,,,3.88,16.8,95.4,9796
1778422169,,,,,,3.88,15.5,95.4,9796
1778422171,,,,,,3.88,29.5,95.5,9796
1778422172,,,,,,3.73,13.7,95.5,9796
1778422174,,,,,,3.73,15.1,95.4,9796
1778422175,,,,,,3.73,14.8,95.6,9796
1778422176,,,,,,3.73,16.3,95.4,9796
1778422177,,,,,,3.51,16.5,95.4,9796
1778422179,,,,,,3.51,13.4,95.4,9796
1778422180,,,,,,3.51,20.0,95.5,9796
1778422181,,,,,,3.51,14.7,95.5,9796
1778422183,,,,,,3.47,14.4,95.4,9796
1778422184,,,,,,3.47,13.2,95.4,9796
1778422185,,,,,,3.47,14.8,95.6,9796
1778422187,,,,,,3.27,14.5,95.4,9796
1778422188,,,,,,3.27,13.7,95.4,9796
1778422189,,,,,,3.27,19.3,95.3,9796
1778422191,,,,,,3.27,13.7,95.3,9796
1778422192,,,,,,3.09,13.7,95.3,9796
1778422193,,,,,,3.09,21.3,95.3,9796
1778422195,,,,,,3.09,15.0,95.4,9796
1778422196,,,,,,3.09,14.8,95.3,9796
1778422197,,,,,,3.16,20.5,95.3,9796
1778422199,,,,,,3.16,15.0,95.3,9796
1778422200,,,,,,3.16,17.3,95.0,9796
1778422201,,,,,,3.16,16.6,95.6,9796
1778422203,,,,,,3.39,14.8,95.4,9796
1778422204,,,,,,3.39,13.9,95.3,9796
1778422205,,,,,,3.39,15.0,95.4,9796
1778422207,,,,,,3.28,21.1,95.3,9796
