ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422338,29,10912,52,20.13,0,3.08,14.7,94.7,9796
1778422340,31,10912,52,17.55,0,3.08,19.1,95.1,9796
1778422341,27,9158,53,35.33,0,2.92,21.5,95.9,9796
1778422344,25,9158,53,50.00,0,2.92,21.4,95.5,9796
1778422345,3,10910,53,34.80,0,2.92,12.0,95.6,9796
1778422347,23,10910,56,108.02,0,2.76,15.0,95.5,9796
1778422349,45,10910,54,54.04,0,2.76,16.0,95.6,9796
1778422351,23,10910,55,58.58,0,2.76,14.8,95.5,9796
1778422353,10,10910,55,45.35,0,2.86,16.2,95.5,9796
1778422355,24,10910,55,56.98,0,2.86,14.4,95.6,9796
1778422357,11,10910,56,52.96,0,2.95,18.1,95.5,9796
1778422358,24,10910,55,57.12,0,2.95,14.7,95.5,9796
1778422360,10,10910,55,57.28,0,2.95,13.5,95.5,9796
1778422362,45,10910,55,46.24,0,3.12,20.4,95.4,9796
1778422364,24,10910,55,60.59,0,3.12,13.4,95.4,9796
1778422366,45,10910,55,46.57,0,3.12,15.5,95.4,9796
1778422368,24,10910,60,68.55,0,3.35,13.9,95.4,9796
1778422369,45,10910,55,47.36,0,3.35,15.2,95.5,9796
1778422371,13,10910,57,46.34,0,3.48,18.6,94.8,9796
1778422373,17,10910,57,55.36,0,3.48,14.4,94.8,9796
1778422375,45,10910,55,46.01,0,3.48,20.8,94.9,9796
1778422377,24,10910,56,48.54,0,3.44,14.4,94.8,9796
1778422379,47,10910,55,58.50,0,3.44,13.6,94.8,9796
1778422380,46,10910,55,45.59,0,3.44,17.2,94.8,9796
1778422382,23,10910,58,55.60,0,3.24,13.5,94.7,9796
1778422384,46,10910,55,45.66,0,3.24,20.4,94.8,9796
1778422386,45,10910,57,45.91,0,3.24,13.1,94.7,9796
1778422388,23,10910,57,59.02,0,3.22,13.8,94.7,9796
1778422390,19,10910,57,46.17,0,3.22,14.5,94.8,9796
