ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422397,35,10910,55,21.76,0,3.43,15.2,94.4,9796
1778422399,33,11091,54,18.05,0,3.43,14.5,94.8,9796
1778422401,96,9158,55,36.82,0,3.43,14.8,95.6,9796
1778422402,25,9158,56,49.37,0,3.56,21.4,95.4,9796
1778422404,5,10910,55,34.75,0,3.56,15.4,95.5,9796
1778422406,25,10910,58,98.69,0,3.83,16.8,95.4,9796
1778422408,46,10910,56,52.76,0,3.83,12.8,95.4,9796
1778422410,24,10910,57,54.48,0,3.83,14.6,95.5,9796
1778422412,45,10910,56,46.21,0,3.68,19.6,95.4,9796
1778422414,38,10910,57,46.27,0,3.68,12.5,95.4,9796
1778422415,46,10910,58,46.80,0,3.68,13.7,95.5,9796
1778422417,17,10910,58,67.64,0,3.71,19.2,95.4,9796
1778422419,45,10910,58,58.86,0,3.71,13.9,95.4,9796
1778422421,11,10910,57,46.51,0,3.71,17.5,95.4,9796
1778422423,18,10910,57,56.85,0,3.89,13.7,95.4,9796
1778422424,46,10910,59,46.35,0,3.89,13.7,95.5,9796
1778422426,23,10910,57,53.22,0,3.66,16.0,95.4,9796
1778422428,45,10910,57,49.23,0,3.66,14.1,95.4,9796
1778422430,45,10910,59,47.29,0,3.66,20.8,95.5,9796
1778422432,28,10910,59,71.53,0,3.93,14.2,94.8,9796
1778422434,16,10910,58,48.75,0,3.93,18.7,94.8,9796
1778422436,41,10910,59,57.36,0,3.93,14.5,94.8,9796
1778422438,24,10910,58,46.91,0,4.17,17.2,94.7,9796
1778422439,24,10910,58,61.74,0,4.17,14.3,94.9,9796
1778422441,45,10910,59,47.01,0,4.08,14.8,94.7,9796
1778422443,24,10910,59,65.68,0,4.08,24.2,95.5,9796
1778422445,45,10910,58,47.40,0,4.08,13.5,95.8,9796
1778422447,24,10910,61,59.79,0,3.91,20.5,95.5,9796
1778422449,46,10910,58,48.60,0,3.91,14.6,95.5,9796
1778422451,24,10910,60,56.92,0,3.91,14.6,95.5,9796
1778422453,45,10910,60,50.88,0,4.16,13.8,95.5,9796
1778422455,10,10910,59,55.85,0,4.16,18.6,95.7,9796
1778422457,45,10910,58,47.29,0,3.99,13.5,95.6,9796
1778422459,23,10910,60,58.42,0,3.99,13.0,95.7,9796
1778422461,13,10910,59,57.98,0,3.91,15.4,95.6,9796
1778422464,46,10910,60,47.03,0,3.91,18.6,95.8,9796
1778422466,30,10910,59,47.72,0,3.83,14.4,95.7,9796
1778422468,39,10910,59,61.74,0,3.83,14.4,95.7,9796
1778422470,13,10910,59,46.46,0,3.83,14.7,95.8,9796
1778422472,23,10910,60,65.54,0,3.61,19.1,95.7,9796
1778422474,38,10910,59,55.78,30,3.61,16.8,95.8,9796
1778422476,20,10910,59,49.89,30,3.61,19.5,95.7,9796
1778422478,24,10910,59,55.85,30,3.96,13.8,95.6,9796
1778422480,29,10910,57,46.29,30,3.96,15.3,95.8,9796
1778422482,24,10910,57,59.57,30,3.88,15.3,95.6,9796
1778422483,36,10910,56,46.85,30,3.88,14.0,95.6,9796
1778422485,8,10910,56,47.60,30,3.88,19.6,95.8,9796
1778422487,38,10910,55,62.86,30,3.57,14.2,95.6,9796
1778422489,24,10910,54,53.15,30,3.57,13.8,95.7,9796
1778422492,38,10910,53,49.71,30,3.28,16.3,95.5,9796
1778422494,24,10910,53,52.13,30,3.28,14.5,95.5,9797
1778422495,9,10910,52,47.23,30,3.28,14.8,95.6,9797
1778422497,24,10910,52,48.80,30,3.18,19.8,95.5,9797
1778422499,46,10910,53,54.93,30,3.18,17.7,95.7,9797
1778422501,45,10910,52,45.59,30,3.25,19.9,95.4,9797
1778422503,24,10910,53,53.52,30,3.25,13.5,95.4,9797
1778422505,26,10910,50,59.68,30,3.25,13.4,95.4,9797
1778422507,45,10910,49,45.29,30,3.07,14.5,95.3,9797
1778422508,23,10910,51,62.59,30,3.07,16.1,95.3,9797
1778422511,46,10910,49,44.45,30,3.07,12.7,95.3,9797
1778422512,24,10910,51,54.61,30,3.30,14.5,95.3,9797
1778422514,46,10910,48,50.01,30,3.30,19.6,95.4,9797
1778422516,5,10910,47,37.96,30,3.30,16.7,94.8,9797
