ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422523,32,10910,45,15.52,0,3.41,16.8,95.1,9797
1778422525,4,1011,45,19.31,0,3.41,15.2,95.5,9797
1778422527,3,9158,46,37.26,0,3.70,14.4,95.4,9797
1778422529,18,9158,46,44.18,0,3.70,20.9,95.3,9797
1778422531,96,10910,53,87.04,0,3.70,22.4,95.5,9797
1778422532,24,10910,52,73.87,0,3.73,14.2,95.4,9797
1778422534,45,10910,47,44.04,0,3.73,16.3,95.5,9797
1778422536,46,10910,48,44.94,0,3.73,13.5,95.4,9797
1778422538,23,10910,49,72.13,0,3.59,21.7,95.4,9797
1778422540,39,10910,49,43.51,0,3.59,13.7,95.5,9797
1778422541,23,10910,49,59.25,0,3.70,15.1,95.4,9797
1778422543,32,10910,50,56.01,0,3.70,16.5,95.4,9797
1778422545,33,10910,49,44.28,0,3.70,14.7,95.5,9797
1778422547,9,10910,50,61.32,0,3.72,19.5,95.4,9797
1778422549,13,10910,50,43.92,0,3.72,13.7,95.3,9797
1778422551,24,10910,49,58.31,0,3.72,12.9,94.9,9797
1778422552,45,10910,49,44.21,0,3.67,13.5,94.8,9797
1778422554,24,10910,51,55.09,0,3.67,14.4,94.9,9797
1778422556,44,10910,49,44.74,0,3.67,19.6,94.8,9797
1778422558,23,10910,52,54.32,0,3.85,13.9,94.8,9797
1778422560,47,10910,50,44.42,0,3.85,14.1,94.9,9797
1778422562,5,10910,49,30.62,0,4.34,14.3,94.3,9797
