ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422569,28,10910,49,16.72,0,4.40,14.9,94.5,9797
1778422571,29,1011,48,15.37,0,4.40,14.9,94.8,9797
1778422573,3,9158,50,37.97,0,4.04,13.7,94.8,9797
1778422575,24,9158,50,45.05,0,4.04,17.6,94.9,9797
1778422576,8,10910,50,34.86,0,3.88,14.6,94.8,9797
1778422578,24,10910,52,92.99,0,3.88,20.1,94.8,9797
1778422580,25,10910,51,43.55,0,3.88,27.9,95.6,9797
1778422582,15,10910,52,47.44,0,3.89,17.7,95.4,9797
1778422584,14,10910,52,55.90,0,3.89,13.6,95.4,9797
1778422586,46,10910,51,44.62,0,3.89,13.3,95.5,9797
1778422587,23,10910,55,62.75,0,3.82,25.8,95.4,9797
1778422589,46,10910,51,47.77,0,3.82,14.3,95.5,9797
1778422591,23,10910,52,56.71,0,3.82,15.1,95.4,9797
1778422593,12,10910,53,45.18,0,3.67,14.6,95.4,9797
1778422595,20,10910,53,49.94,0,3.67,14.3,95.5,9797
1778422597,32,10910,52,58.40,0,3.62,20.8,95.5,9797
1778422598,45,10910,52,45.08,0,3.62,14.1,95.4,9797
1778422600,24,10910,52,52.64,0,3.62,14.8,95.6,9797
1778422602,46,10910,52,46.11,0,3.33,16.5,95.4,9797
1778422604,24,10910,52,50.68,0,3.33,17.4,95.4,9797
1778422606,45,10910,52,55.06,0,3.33,19.8,95.5,9797
1778422608,46,10910,52,45.24,0,3.22,14.8,95.3,9797
1778422609,24,10910,56,61.44,0,3.22,16.3,95.5,9797
1778422611,45,10910,53,47.85,0,3.44,14.4,94.8,9797
1778422613,24,10910,54,62.00,0,3.44,19.4,94.7,9797
1778422615,46,10910,53,46.13,0,3.44,14.4,94.8,9797
1778422617,24,10910,54,57.71,0,3.57,19.5,94.7,9797
1778422619,38,10910,53,45.65,0,3.57,15.6,94.8,9797
1778422621,24,10910,54,57.71,0,3.57,18.4,94.7,9797
1778422623,20,10910,55,45.60,0,3.60,24.2,94.8,9797
1778422625,14,10910,54,43.56,0,3.60,14.8,94.8,9797
1778422627,23,10910,56,63.47,0,3.55,18.3,94.8,9797
1778422628,40,10910,55,51.93,0,3.55,13.6,94.7,9797
1778422630,22,10910,54,47.31,0,3.55,14.1,94.8,9797
1778422632,12,10910,55,53.01,0,3.75,17.1,94.7,9797
1778422634,42,10910,55,46.15,0,3.75,13.4,94.7,9797
1778422636,14,10910,56,65.88,0,3.75,19.1,94.9,9797
1778422637,7,10910,56,48.35,0,3.61,14.5,94.7,9797
1778422639,46,10910,55,46.41,0,3.61,14.5,94.8,9797
1778422641,47,10910,55,56.81,0,3.61,20.2,95.6,9797
1778422643,35,10910,56,46.54,0,3.80,18.5,95.4,9797
1778422645,23,10910,57,55.90,0,3.80,24.3,95.6,9797
1778422647,34,10910,55,45.05,0,3.90,18.5,95.5,9797
1778422649,24,10910,55,61.35,0,3.90,17.5,95.5,9797
1778422651,46,10910,55,48.17,0,3.90,12.6,95.6,9797
1778422653,24,10910,56,54.61,0,3.82,17.6,95.5,9797
1778422654,6,10910,55,47.31,0,3.82,13.6,95.6,9797
1778422656,46,10910,57,46.37,0,3.76,14.5,95.4,9797
1778422658,24,10910,55,57.57,0,3.76,14.0,95.4,9797
1778422660,46,10910,56,45.80,0,3.76,13.4,95.5,9798
1778422662,24,10910,56,52.85,0,3.62,25.9,95.6,9798
1778422664,12,10910,56,53.64,0,3.62,17.0,95.6,9798
1778422666,18,10910,56,44.49,0,3.62,14.3,95.7,9798
1778422668,23,10910,57,67.03,0,3.73,13.3,95.5,9798
1778422669,39,10910,56,44.91,0,3.73,15.4,95.7,9798
1778422671,23,10910,56,53.57,0,3.51,22.5,95.0,9798
1778422673,20,10910,56,49.47,0,3.51,14.5,95.0,9798
1778422675,24,10910,58,50.76,0,3.51,21.5,95.1,9798
1778422677,7,10910,56,51.53,0,3.47,13.5,95.0,9798
1778422679,46,10910,58,46.38,0,3.47,23.2,94.0,2444
1778422681,23,10910,58,65.41,0,3.47,13.6,95.6,9789
1778422682,47,10910,56,46.76,0,3.51,24.2,99.2,1347
1778422685,24,10910,60,80.86,0,3.51,13.9,82.0,9788
1778422687,46,10910,58,46.72,0,3.31,19.1,81.8,9788
1778422689,23,10910,60,60.54,0,3.31,13.3,95.1,9790
1778422691,44,10910,58,46.28,0,3.31,14.9,95.2,9791
1778422692,13,10910,57,53.89,0,3.12,23.9,95.1,9792
