ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422698,,,,,,3.19,25.2,95.1,9791
1778422699,,,,,,3.19,64.8,95.5,9792
1778422700,,,,,,3.19,25.3,96.3,9793
1778422702,,,,,,3.19,30.3,96.7,9794
1778422703,,,,,,3.18,13.7,96.7,9794
1778422704,,,,,,3.18,21.5,96.7,9794
1778422706,,,,,,3.18,14.4,96.7,9794
1778422707,,,,,,3.16,14.4,96.5,9794
1778422708,,,,,,3.16,14.5,96.5,9794
1778422710,,,,,,3.16,15.2,96.7,9794
1778422711,,,,,,3.16,14.6,96.6,9794
1778422712,,,,,,3.15,15.4,96.5,9794
1778422714,,,,,,3.15,20.4,96.5,9794
1778422715,,,,,,3.15,13.6,96.6,9794
1778422716,,,,,,3.15,12.6,96.6,9794
1778422718,,,,,,2.98,19.5,96.5,9794
1778422719,,,,,,2.98,14.5,96.5,9794
1778422720,,,,,,2.98,14.0,96.6,9794
1778422721,,,,,,2.98,15.2,96.6,9794
1778422723,,,,,,2.98,12.8,96.4,9794
1778422724,,,,,,2.98,16.3,96.5,9794
1778422725,,,,,,2.98,13.4,96.6,9794
1778422727,,,,,,2.98,20.5,96.4,9794
1778422728,,,,,,3.38,15.2,96.5,9794
1778422729,,,,,,3.38,14.5,96.5,9794
1778422731,,,,,,3.38,16.5,96.5,9794
1778422732,,,,,,3.35,15.7,95.9,9794
1778422733,,,,,,3.35,15.2,95.8,9794
1778422735,,,,,,3.35,14.5,95.8,9794
1778422736,,,,,,3.35,14.8,96.0,9794
1778422737,,,,,,3.24,13.8,95.8,9794
1778422738,,,,,,3.24,13.8,95.8,9794
1778422740,,,,,,3.24,16.7,95.9,9794
1778422741,,,,,,3.24,14.5,96.0,9794
1778422742,,,,,,3.38,12.5,95.9,9794
1778422744,,,,,,3.38,29.1,96.6,9794
1778422745,,,,,,3.38,17.0,96.7,9794
1778422746,,,,,,3.38,13.7,96.5,9794
1778422748,,,,,,3.43,13.8,96.4,9794
1778422749,,,,,,3.43,15.5,96.4,9794
1778422750,,,,,,3.43,13.8,96.5,9795
1778422752,,,,,,3.43,13.8,96.4,9795
1778422753,,,,,,3.32,19.4,96.4,9795
1778422754,,,,,,3.32,12.3,96.4,9795
1778422756,,,,,,3.32,14.1,96.5,9795
1778422757,,,,,,3.29,13.8,96.4,9795
1778422758,,,,,,3.29,19.4,96.4,9795
1778422759,,,,,,3.29,15.0,96.4,9795
1778422761,,,,,,3.29,14.1,96.4,9795
1778422762,,,,,,3.19,17.3,96.4,9795
1778422763,,,,,,3.19,15.5,96.4,9795
1778422765,,,,,,3.19,14.6,96.5,9795
1778422766,,,,,,3.19,14.5,96.4,9795
1778422767,,,,,,3.17,16.5,96.5,9795
1778422769,,,,,,3.17,14.4,96.4,9795
1778422770,,,,,,3.17,13.7,96.5,9795
1778422771,,,,,,3.17,21.1,96.4,9795
1778422773,,,,,,4.04,14.8,96.4,9795
1778422774,,,,,,4.04,14.6,96.4,9795
1778422775,,,,,,4.04,19.4,96.5,9795
1778422777,,,,,,4.04,14.7,96.4,9795
1778422778,,,,,,3.88,13.5,96.4,9795
1778422779,,,,,,3.88,17.9,96.4,9795
1778422781,,,,,,3.88,15.2,96.5,9795
1778422782,,,,,,4.21,14.2,96.4,9795
1778422783,,,,,,4.21,16.0,96.4,9795
1778422785,,,,,,4.21,14.7,96.4,9795
1778422786,,,,,,4.21,15.2,96.4,9795
1778422787,,,,,,4.11,13.7,95.9,9795
1778422788,,,,,,4.11,16.6,96.0,9795
