ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422700,32,10910,56,18.65,0,3.19,28.4,96.4,9793
1778422702,35,10910,55,18.05,0,3.18,19.1,96.7,9794
1778422704,4,1192,56,34.00,0,3.18,20.4,96.7,9794
1778422706,28,9158,57,52.26,0,3.18,13.1,96.7,9794
1778422707,3,9158,56,35.01,0,3.16,19.6,96.5,9794
1778422709,23,10936,60,127.36,30,3.16,14.7,96.6,9794
1778422711,10,10936,58,74.60,30,3.16,15.7,96.5,9794
1778422713,45,10936,56,47.23,30,3.15,21.3,96.5,9794
1778422715,47,10936,56,58.79,30,3.15,13.4,96.6,9794
1778422717,9,10936,55,48.00,30,2.98,19.3,96.5,9794
1778422719,10,10936,55,55.03,30,2.98,14.8,96.5,9794
1778422721,45,10936,55,46.01,30,2.98,15.4,96.6,9794
1778422723,46,10936,55,56.90,30,2.98,16.3,96.4,9794
1778422724,45,10936,53,44.97,30,2.98,15.1,96.6,9794
1778422726,45,10936,54,46.00,30,2.98,20.0,96.5,9794
1778422728,23,10936,53,64.78,30,3.38,14.3,96.5,9794
1778422730,36,10936,51,44.56,30,3.38,16.3,96.5,9794
1778422732,9,10936,52,58.21,30,3.35,14.3,95.9,9794
1778422734,44,10936,52,44.94,30,3.35,13.8,95.8,9794
1778422736,13,10936,51,60.42,30,3.35,14.7,96.0,9794
1778422737,44,10936,51,44.40,30,3.24,19.5,95.8,9794
1778422739,8,10936,50,55.29,30,3.24,15.5,95.9,9794
1778422741,45,10936,49,43.52,30,3.24,13.1,95.9,9794
1778422743,45,10936,49,45.32,30,3.38,29.1,96.6,9794
1778422745,46,10936,48,58.07,30,3.38,15.8,96.7,9794
1778422747,31,10936,48,44.18,30,3.43,13.8,96.4,9794
1778422749,19,10936,49,60.72,30,3.43,15.5,96.4,9794
1778422750,46,10936,47,44.04,30,3.43,14.0,96.4,9795
1778422752,21,10936,47,53.79,30,3.32,18.3,96.4,9795
1778422754,29,10936,47,44.40,30,3.32,15.5,96.5,9795
1778422756,23,10936,49,48.93,30,3.32,15.1,96.4,9795
1778422758,47,10936,47,58.37,30,3.29,19.8,96.4,9795
1778422760,46,10936,47,44.06,30,3.29,13.1,96.5,9795
1778422761,40,10936,46,44.30,30,3.19,17.0,96.5,9795
1778422763,4,10936,46,56.68,30,3.19,13.5,96.4,9795
1778422765,45,10936,45,43.83,0,3.19,14.2,96.4,9795
1778422767,13,10936,46,59.85,0,3.17,17.6,96.4,9795
1778422769,13,10936,46,42.46,0,3.17,16.7,96.4,9795
1778422771,24,10936,48,52.08,0,3.17,19.7,96.5,9795
1778422773,15,10936,47,41.08,0,4.04,13.8,96.4,9795
1778422775,22,10936,46,43.85,0,4.04,18.2,96.5,9795
1778422777,20,10936,47,51.05,0,3.88,14.3,96.4,9795
1778422778,24,10936,47,42.47,0,3.88,17.7,96.4,9795
1778422780,24,10936,50,54.51,0,3.88,14.4,96.4,9795
1778422782,8,10936,48,41.51,0,4.21,15.4,96.4,9795
1778422784,24,10936,47,50.92,0,4.21,14.7,96.5,9795
1778422786,5,10936,46,40.86,0,4.21,18.8,95.9,9795
