ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422793,30,10936,46,16.52,0,4.10,19.0,96.2,9795
1778422795,31,10947,46,15.55,0,4.10,14.1,96.6,9795
1778422797,29,9158,47,34.23,0,4.01,13.7,96.5,9795
1778422799,24,9158,47,48.29,0,4.01,27.7,96.6,9795
1778422800,4,10936,47,33.90,0,4.01,14.4,96.4,9795
1778422802,23,10936,52,113.27,0,3.93,12.5,96.4,9795
1778422804,25,10936,49,53.45,0,3.93,17.0,96.3,9795
1778422806,24,10936,49,49.91,0,3.93,13.8,96.3,9795
1778422808,10,10936,50,47.04,0,3.70,19.7,96.4,9795
1778422809,24,10936,49,50.29,0,3.70,14.0,96.5,9795
1778422811,46,10936,49,50.11,0,3.70,16.5,96.4,9795
1778422813,23,10936,52,48.84,0,4.12,16.3,96.4,9795
1778422815,41,10936,49,50.47,0,4.12,15.0,96.5,9795
1778422817,27,10936,50,43.96,0,3.95,19.4,96.4,9795
1778422819,15,10936,51,71.64,0,3.95,14.6,96.3,9795
1778422820,45,10936,50,44.72,0,3.95,16.0,96.4,9795
1778422822,45,10936,50,59.70,0,3.87,13.3,96.4,9795
1778422825,18,10936,50,45.68,0,3.87,18.7,96.5,9795
1778422826,13,10936,51,52.66,0,4.44,15.2,96.3,9795
1778422828,34,10936,51,44.63,0,4.44,15.9,96.3,9795
1778422830,24,10936,51,56.33,0,4.44,15.6,96.3,9795
1778422832,9,10936,52,43.51,0,4.49,14.7,96.2,9795
1778422834,34,10936,52,45.31,0,4.49,18.5,96.2,9795
1778422836,23,10936,52,72.71,0,4.49,12.5,96.1,9795
1778422837,5,10936,50,39.28,0,4.21,14.2,95.6,9795
