ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778422844,32,10936,50,18.60,0,4.19,13.4,95.8,9795
1778422846,28,1011,50,16.51,0,4.19,16.8,95.9,9795
1778422848,3,9158,51,39.12,0,4.02,14.2,95.9,9795
1778422850,8,9158,51,43.64,0,4.02,17.9,95.9,9795
1778422851,100,10936,65,74.37,0,3.77,12.8,95.2,9795
1778422853,23,10936,54,98.10,0,3.77,20.2,95.2,9795
1778422855,37,10936,53,44.45,0,3.77,13.8,95.3,9795
1778422857,10,10936,53,44.61,0,3.79,15.9,95.2,9795
1778422859,24,10936,55,56.04,0,3.79,18.5,95.2,9795
1778422861,22,10936,54,44.74,0,3.79,13.8,95.2,9795
1778422862,23,10936,53,52.60,0,3.97,16.2,95.2,9795
1778422864,46,10936,52,47.53,0,3.97,15.4,95.3,9795
1778422866,21,10936,53,56.32,0,3.97,15.4,95.2,9795
1778422868,31,10936,53,44.06,0,3.73,20.7,95.2,9795
1778422870,7,10936,54,48.01,0,3.73,13.9,95.3,9795
1778422872,46,10936,53,51.73,0,3.67,16.7,95.2,9795
1778422873,11,10936,53,45.67,0,3.67,14.3,95.2,9795
1778422875,14,10936,54,55.58,0,3.67,14.8,95.3,9795
1778422877,37,10936,54,45.15,0,3.54,22.0,95.2,9795
1778422879,45,10936,53,45.90,0,3.54,14.4,95.2,9795
1778422881,46,10936,54,65.41,0,3.54,17.2,95.4,9795
1778422883,29,10936,55,45.66,0,3.57,13.7,95.3,9795
1778422885,23,10936,55,65.65,0,3.57,13.5,95.4,9795
1778422886,11,10936,55,44.49,0,3.61,13.5,95.3,9795
1778422888,24,10936,57,60.47,0,3.61,13.8,95.3,9795
1778422890,11,10936,54,45.03,0,3.61,28.7,95.4,9795
1778422892,18,10936,55,54.85,0,3.80,14.4,95.4,9795
1778422894,46,10936,54,45.82,0,3.80,21.1,95.5,9795
1778422896,25,10936,54,53.40,0,3.80,14.4,95.4,9795
1778422898,28,10936,54,45.81,0,3.58,14.3,95.3,9795
1778422900,46,10936,54,45.12,0,3.58,13.8,95.5,9795
1778422902,11,10936,56,67.59,0,3.77,13.3,95.4,9795
1778422903,38,10936,55,53.65,0,3.77,19.0,95.4,9795
1778422905,23,10936,58,53.94,0,3.77,14.9,95.5,9795
1778422907,20,10936,55,50.76,0,3.79,20.8,95.3,9795
1778422909,24,10936,58,55.86,0,3.79,15.2,95.3,9795
1778422911,47,10936,56,49.08,0,3.79,16.7,94.6,9795
1778422913,45,10936,57,46.08,0,3.56,14.1,94.6,9795
1778422915,24,10936,59,61.53,0,3.56,13.8,94.8,9795
1778422916,46,10936,57,45.68,0,3.44,14.5,94.6,9795
1778422918,10,10936,56,54.96,0,3.44,14.8,94.6,9795
1778422920,15,10936,55,44.11,0,3.44,19.4,94.8,9795
1778422922,18,10936,56,46.59,0,3.40,13.6,94.6,9795
1778422924,23,10936,56,57.28,0,3.40,17.6,94.7,9795
1778422926,24,10936,56,46.78,0,3.40,14.6,94.5,9795
1778422928,11,10936,56,52.95,0,3.37,17.2,94.6,9795
1778422930,45,10936,57,46.42,0,3.37,13.5,94.6,9795
1778422931,6,10936,57,57.98,0,3.66,14.8,94.5,9795
1778422933,19,10936,56,45.39,0,3.66,21.5,94.5,9795
1778422935,10,10936,56,46.62,0,3.66,15.1,94.6,9795
1778422937,36,10936,57,63.99,0,3.61,14.4,94.5,9795
1778422939,46,10936,56,46.76,0,3.61,14.7,94.5,9795
1778422941,25,10936,56,55.30,0,3.61,13.7,95.3,9795
1778422942,36,10936,56,45.67,0,3.72,20.0,95.2,9795
1778422944,24,10936,58,55.56,0,3.72,14.2,95.3,9795
1778422946,27,10936,56,44.97,0,3.58,16.6,95.2,9795
1778422948,38,10936,56,46.75,0,3.58,15.0,95.3,9795
1778422950,19,10936,58,58.73,0,3.58,20.5,95.3,9795
1778422952,14,10936,57,45.26,0,3.93,14.3,95.2,9795
1778422954,24,10936,59,55.26,0,3.93,25.5,95.3,9795
1778422956,10,1011,57,32.70,0,3.93,13.6,95.2,9795
1778422958,8,8860,58,45.52,0,4.18,13.8,95.2,9795
1778422960,4,8860,57,40.64,0,4.18,14.1,95.5,9795
1778422962,95,10840,65,96.86,0,4.08,13.6,95.4,9795
1778422963,92,10840,72,155.38,30,4.08,18.6,95.4,9795
1778422965,23,10840,59,94.83,30,4.08,14.7,95.4,9795
1778422967,40,10840,58,44.27,30,3.92,14.1,95.3,9795
1778422969,45,10840,57,44.63,34,3.92,20.3,95.3,9795
1778422971,45,10840,57,44.05,38,3.92,14.8,94.6,9795
1778422972,23,10840,55,55.42,40,3.68,18.6,94.7,9795
1778422974,5,10840,55,68.35,40,3.68,13.8,94.8,9795
1778422976,5,10840,53,43.44,40,3.68,15.4,94.7,9795
1778422978,17,10840,52,53.65,40,3.71,16.2,94.7,9795
1778422980,46,10840,52,42.27,38,3.71,16.8,94.7,9795
1778422982,5,10840,50,40.91,35,3.49,53.5,96.6,9795
1778422985,8,10840,49,40.39,31,3.69,17.8,99.1,9795
1778422988,45,10840,48,44.03,30,3.69,19.5,98.5,9795
1778422991,21,10840,48,42.44,30,3.56,18.8,98.2,9795
1778422993,24,10840,48,50.36,30,3.56,27.6,99.2,9795
1778422997,31,10840,46,42.25,30,3.99,24.7,99.7,9795
1778423001,7,10840,46,42.33,30,3.83,26.7,99.7,9795
1778423004,17,10840,46,49.91,30,3.83,33.6,97.2,9795
1778423006,45,10840,47,41.48,0,3.85,23.8,95.1,9795
1778423008,42,10840,46,39.81,0,3.85,25.0,95.1,9795
1778423011,5,10840,45,40.62,0,3.85,17.0,95.2,9795
1778423013,14,10840,46,41.25,0,3.70,29.6,95.3,9795
1778423015,7,10840,46,41.16,0,3.70,17.1,95.4,9795
1778423017,4,10840,46,42.47,0,3.48,18.1,95.5,9795
1778423019,24,10840,49,53.32,0,3.48,25.7,95.4,9795
1778423021,9,10840,48,40.10,0,3.48,19.6,95.3,9795
