ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423189,27,11109,47,14.69,0,8.70,15.9,97.1,9796
1778423199,15,1029,47,23.53,0,8.70,16.4,97.2,9796
1778423203,4,9157,48,38.76,0,8.40,11.3,96.5,9796
1778423205,4,9157,48,43.23,0,8.40,16.3,96.6,9796
1778423207,100,10909,61,83.10,0,7.89,10.8,96.5,9796
1778423209,23,10909,51,77.91,0,7.89,18.3,96.5,9796
1778423211,24,10909,49,44.55,0,7.89,11.8,96.5,9796
1778423213,23,10909,50,55.14,0,7.34,16.5,96.5,9796
1778423215,46,10909,51,46.20,0,7.34,11.0,96.6,9796
1778423217,24,10909,53,49.52,0,7.07,13.5,93.6,9796
1778423219,36,10909,49,48.85,0,7.07,11.2,93.5,9796
1778423220,46,10909,51,45.10,0,7.07,9.7,93.5,9796
1778423222,24,10909,54,62.60,0,6.58,22.8,93.6,9796
1778423224,33,10909,51,44.06,0,6.58,9.6,93.7,9796
1778423226,24,10909,52,52.27,0,6.58,10.4,93.6,9796
1778423228,45,10909,52,56.04,0,6.22,22.5,93.6,9796
1778423230,25,10909,50,43.04,0,6.22,12.0,93.7,9796
1778423232,21,10909,51,55.56,0,6.12,12.1,93.5,9796
1778423234,45,10909,50,43.63,0,6.12,20.3,93.6,9796
1778423236,24,10909,51,53.31,0,6.12,11.8,93.5,9796
