ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423248,35,10909,50,17.15,0,5.43,14.0,93.3,9796
1778423250,28,10919,50,15.48,0,5.43,9.5,93.6,9796
1778423252,3,9157,51,39.50,0,5.16,12.4,93.5,9796
1778423254,4,9157,51,43.86,0,5.16,10.4,93.7,9796
1778423256,98,10909,64,84.92,0,5.79,24.5,97.6,9796
1778423259,23,10909,53,73.08,0,5.79,17.2,96.9,9796
1778423261,45,10909,52,46.08,0,5.79,21.1,96.9,9796
1778423263,25,10909,52,58.31,0,5.96,12.9,96.9,9796
1778423265,17,10909,52,44.76,0,5.96,19.2,97.1,9796
1778423267,24,10909,56,50.95,0,5.73,13.5,96.9,9796
1778423269,45,10909,52,58.80,0,5.73,17.1,96.9,9796
1778423271,11,10909,54,66.38,0,5.73,13.3,96.9,9796
1778423273,38,10909,54,45.76,0,5.59,18.5,96.9,9796
1778423275,24,10909,55,54.49,0,5.59,13.2,97.0,9796
1778423277,23,10909,55,48.04,0,5.46,22.2,96.9,9796
1778423279,46,10909,53,50.93,0,5.46,16.2,97.0,9796
1778423281,8,10909,54,47.48,0,5.46,43.8,95.5,9760
1778423283,33,10909,55,52.36,0,5.82,16.1,74.7,131
1778423285,45,10909,54,46.18,0,5.82,21.6,98.4,9790
1778423287,47,10909,54,64.02,0,5.36,13.9,98.1,9792
1778423289,7,10909,55,49.92,0,5.36,14.9,98.3,9792
1778423291,46,10909,54,49.82,0,5.36,14.3,98.1,9793
1778423293,24,10909,54,56.55,0,5.25,65.2,98.0,9788
