ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423301,30,10909,53,20.67,0,5.15,20.8,97.7,9782
1778423303,16,1010,53,19.07,0,7.62,20.6,98.0,9783
1778423304,97,9157,54,36.43,0,7.62,33.7,98.0,9783
1778423306,23,9157,54,49.22,0,7.62,22.6,97.8,9785
1778423308,76,10959,58,39.23,0,7.49,13.5,97.8,9785
1778423310,9,10959,57,119.18,30,7.49,13.6,97.8,9785
1778423312,45,10959,54,49.60,30,7.21,13.9,97.7,9785
1778423314,23,10959,54,57.65,30,7.21,20.0,97.7,9785
1778423316,46,10959,53,50.61,30,7.21,14.3,97.6,9785
1778423318,23,10959,52,57.93,30,6.71,14.6,97.5,9785
1778423320,46,10959,51,45.24,30,6.71,14.3,97.6,9785
1778423322,13,10959,52,52.91,30,6.41,12.6,97.4,9785
1778423324,11,10959,52,45.61,30,6.41,19.4,97.5,9785
1778423326,46,10959,50,45.73,30,6.41,14.0,97.4,9785
1778423328,45,10959,50,57.61,30,6.22,14.6,97.4,9785
1778423330,8,10959,50,45.08,30,6.22,14.1,97.4,9785
1778423331,46,10959,49,47.34,30,5.96,18.0,97.2,9785
1778423334,45,10959,48,44.83,30,5.96,12.6,97.3,9785
1778423336,24,10959,50,56.65,30,5.96,17.1,97.1,9785
1778423338,10,10959,48,44.06,30,5.72,13.5,97.1,9785
1778423340,44,10959,48,45.31,30,5.72,20.6,97.1,9786
1778423342,32,10959,48,51.72,30,5.27,14.6,97.0,9786
1778423344,24,10959,48,49.38,30,5.27,30.6,96.8,9786
1778423346,38,10959,47,46.74,30,5.00,14.3,96.5,9786
1778423349,27,10959,46,43.76,30,5.00,17.0,96.5,9786
1778423351,24,10959,48,54.01,30,5.00,13.9,96.5,9786
1778423353,29,10959,46,43.34,40,4.76,17.5,96.5,9786
1778423355,22,10959,47,54.42,0,4.76,13.7,96.6,9786
1778423357,34,10959,46,43.85,0,4.62,18.3,96.5,9786
1778423359,24,10959,46,55.69,0,4.62,14.3,96.6,9786
1778423361,25,10959,47,42.51,0,4.62,21.3,96.6,9786
1778423363,11,10959,47,50.76,0,4.57,13.7,96.5,9786
1778423365,46,10959,46,44.07,0,4.57,19.2,96.6,9786
1778423367,18,10959,48,43.86,0,4.37,12.8,96.4,9786
1778423369,24,10959,47,59.13,0,4.37,14.2,96.4,9786
1778423371,39,10959,47,43.23,0,4.37,22.4,96.3,9786
1778423373,24,10959,48,58.36,0,4.10,14.4,96.3,9786
1778423375,42,10959,47,43.31,0,4.10,24.8,99.7,9786
1778423377,24,10959,48,53.42,0,4.17,25.9,99.6,9786
1778423379,22,10959,48,46.58,0,4.17,23.9,99.7,9786
1778423381,26,10959,48,42.83,0,4.17,14.5,99.5,9786
1778423383,24,10959,48,53.61,0,3.99,13.7,99.5,9786
1778423385,13,10959,50,45.96,0,3.99,20.0,99.6,9786
1778423387,10,10959,49,42.18,0,4.15,13.2,99.5,9786
1778423389,9,10959,50,56.66,0,4.15,15.5,99.6,9786
1778423391,45,10959,49,44.19,0,4.15,12.9,99.4,9786
1778423393,12,10959,50,56.06,0,4.14,12.5,99.5,9786
1778423395,46,10959,49,44.81,0,4.14,18.3,99.5,9786
1778423397,24,10959,53,59.15,0,4.37,14.8,99.4,9786
1778423399,31,10959,51,51.80,0,4.37,12.2,99.7,9786
1778423401,5,10959,50,54.35,0,4.37,15.4,99.4,9786
1778423403,46,10959,49,43.54,0,4.26,10.6,99.3,9786
1778423405,24,10959,50,52.27,0,4.26,14.0,99.4,9786
1778423407,47,10959,51,51.86,0,4.40,18.6,99.9,9786
1778423409,45,10959,51,45.24,0,4.40,18.8,99.8,9786
1778423411,24,10959,52,63.28,0,4.40,19.7,99.8,9786
1778423412,45,10959,52,44.94,0,4.13,22.5,99.9,9786
