ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423304,,,,,,7.62,22.0,98.0,9783
1778423305,,,,,,7.62,61.1,98.0,9784
1778423307,,,,,,7.62,23.5,97.8,9785
1778423308,,,,,,7.49,17.5,97.8,9785
1778423309,,,,,,7.49,15.1,97.8,9785
1778423311,,,,,,7.49,12.9,97.8,9785
1778423312,,,,,,7.49,13.8,97.7,9785
1778423313,,,,,,7.21,14.7,97.7,9785
1778423315,,,,,,7.21,20.2,97.7,9785
1778423316,,,,,,7.21,14.5,97.6,9785
1778423318,,,,,,6.71,13.9,97.6,9785
1778423319,,,,,,6.71,13.2,97.5,9785
1778423320,,,,,,6.71,15.3,97.6,9785
1778423322,,,,,,6.71,14.5,97.5,9785
1778423323,,,,,,6.41,13.3,97.4,9785
1778423324,,,,,,6.41,17.4,97.5,9785
1778423326,,,,,,6.41,15.0,97.5,9785
1778423327,,,,,,6.41,13.7,97.3,9785
1778423328,,,,,,6.22,15.8,97.4,9785
1778423330,,,,,,6.22,15.3,97.4,9785
1778423331,,,,,,6.22,13.2,97.3,9785
1778423333,,,,,,5.96,18.4,97.3,9785
1778423334,,,,,,5.96,14.7,97.3,9785
1778423335,,,,,,5.96,13.8,97.3,9785
1778423337,,,,,,5.96,16.4,97.2,9785
1778423338,,,,,,5.72,15.4,97.1,9785
1778423339,,,,,,5.72,17.2,97.1,9785
1778423341,,,,,,5.72,20.0,97.1,9786
1778423342,,,,,,5.27,14.5,97.0,9786
1778423344,,,,,,5.27,22.5,97.1,9786
1778423345,,,,,,5.27,29.5,96.8,9786
1778423346,,,,,,5.27,13.8,96.6,9786
1778423348,,,,,,5.00,14.0,96.5,9786
1778423349,,,,,,5.00,16.4,96.6,9786
1778423350,,,,,,5.00,14.5,96.7,9786
1778423352,,,,,,5.00,13.7,96.5,9786
1778423353,,,,,,4.76,16.2,96.5,9786
1778423355,,,,,,4.76,14.8,96.6,9786
