ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423745,18,10849,46,21.97,0,2.01,12.7,91.1,9788
1778423747,30,10849,46,15.83,0,2.01,43.5,91.3,9788
1778423749,4,996,47,28.87,0,2.01,8.5,91.4,9788
1778423750,19,9143,48,42.37,0,2.01,11.3,91.7,9788
1778423752,4,9143,47,38.53,0,2.01,10.2,91.6,9788
1778423754,97,10921,53,49.63,0,2.01,9.3,91.5,9788
1778423755,23,10951,54,76.28,0,2.01,10.2,91.5,9788
1778423757,45,10951,48,47.26,0,1.93,15.1,91.6,9788
1778423759,46,10951,49,56.91,0,1.93,9.5,91.6,9788
1778423761,36,10951,49,44.11,0,1.93,11.3,91.6,9788
1778423763,24,10951,53,60.94,0,2.02,9.0,91.5,9788
1778423764,43,10951,49,46.52,0,2.02,10.6,91.7,9788
1778423766,23,10951,53,60.06,0,2.02,10.6,91.6,9788
1778423768,47,10951,50,67.85,0,1.93,10.3,91.5,9788
1778423770,46,10951,51,44.39,0,1.93,11.6,91.7,9788
1778423771,46,10951,50,45.34,0,1.93,11.4,91.6,9788
1778423773,24,10951,50,57.45,0,1.78,13.3,91.5,9788
1778423775,45,10951,50,43.94,0,1.78,10.9,91.7,9788
1778423776,24,10951,50,53.72,0,1.78,9.1,91.5,9788
1778423778,47,10951,50,51.11,0,1.80,11.4,91.6,9788
1778423780,7,10951,51,46.40,0,1.80,9.3,91.7,9788
1778423781,13,10951,52,68.84,0,1.80,9.5,91.6,9788
1778423783,39,10951,52,44.94,0,1.81,11.6,91.4,9788
1778423785,24,10951,51,54.81,0,1.81,12.0,91.6,9788
1778423787,17,10951,51,46.36,0,1.75,9.5,91.4,9788
1778423789,45,10951,51,45.55,0,1.75,11.3,91.3,9788
1778423791,6,10951,50,24.84,0,1.69,9.5,90.8,9788
