ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423799,35,10951,50,16.62,0,1.63,17.1,91.4,9788
1778423801,6,1207,50,19.25,0,1.63,10.3,91.6,9788
1778423803,16,9173,52,44.47,0,1.58,11.8,91.6,9788
1778423805,3,9173,51,37.78,0,1.58,14.4,91.6,9788
1778423808,45,10951,55,128.98,0,1.53,11.9,91.7,9788
1778423809,46,10951,52,68.88,0,1.53,33.5,92.1,9788
1778423811,46,10951,52,44.30,0,1.53,12.1,92.0,9788
1778423813,23,10951,54,46.60,0,1.57,9.1,91.9,9788
1778423815,17,10951,53,55.44,0,1.57,11.6,92.0,9788
1778423816,45,10951,52,45.04,0,1.57,11.7,91.9,9788
1778423818,23,10951,53,62.44,0,5.77,9.8,91.9,9788
1778423820,45,10951,52,44.83,0,5.77,11.7,92.2,9788
1778423822,20,10951,53,48.32,0,5.77,56.8,92.2,9788
1778423823,23,10951,54,68.82,0,5.47,10.7,92.2,9788
1778423825,14,10951,54,45.62,0,5.47,10.8,92.3,9788
1778423827,23,10951,56,55.79,0,5.47,9.4,92.2,9788
1778423828,46,10951,53,45.03,0,5.11,10.5,92.1,9788
1778423830,45,10951,53,45.48,0,5.11,11.5,92.3,9788
1778423832,23,10951,54,60.41,0,5.11,11.0,92.1,9788
1778423834,45,10951,53,49.06,0,4.70,10.4,92.1,9788
1778423835,23,10951,54,57.32,0,4.70,11.1,92.2,9788
1778423837,45,10951,53,44.82,0,4.70,8.6,92.0,9788
1778423839,20,10951,55,45.52,0,4.32,10.1,92.0,9788
