ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778423956,35,10951,57,19.10,0,2.41,12.3,90.5,9796
1778423957,6,1026,57,21.99,0,2.22,12.1,90.9,9796
1778423959,3,9173,58,38.51,0,2.22,14.6,90.7,9796
1778423961,18,9173,58,49.35,0,2.22,19.8,92.5,9796
1778423963,5,10925,58,35.82,0,2.12,17.3,93.6,9796
1778423964,24,10925,61,130.63,30,2.12,16.5,93.6,9796
1778423966,11,10925,58,67.59,30,2.12,12.1,93.6,9796
1778423968,21,10925,58,47.56,30,2.03,10.5,93.6,9796
1778423970,9,10925,58,61.30,30,2.03,10.1,93.6,9796
1778423971,20,10925,57,47.02,33,2.03,28.1,93.5,9796
1778423973,23,10925,57,64.49,35,1.95,11.3,93.6,9796
1778423975,13,10925,55,65.18,37,1.95,11.4,93.7,9796
1778423976,24,10925,54,53.31,37,1.95,12.9,93.6,9796
1778423978,16,10925,54,54.66,37,1.87,11.9,93.6,9796
1778423980,24,10925,53,53.91,37,1.87,9.7,93.7,9796
1778423982,45,10925,54,53.64,36,1.87,10.8,93.6,9796
1778423983,23,10925,57,53.62,36,1.80,10.9,93.6,9796
1778423985,28,10925,51,55.42,35,1.80,12.1,93.6,9796
1778423987,24,10925,55,53.18,35,2.06,13.5,93.6,9796
1778423989,8,10925,50,49.28,34,2.06,14.5,93.7,9796
1778423991,11,10925,50,46.77,33,2.06,32.9,95.1,9796
1778423993,40,10925,50,52.42,31,2.45,26.4,95.2,9796
1778423995,24,10925,51,47.92,30,2.45,27.3,95.4,9796
1778423996,46,10925,50,56.71,30,2.45,34.7,73.5,132
1778423998,33,10925,48,43.51,30,2.58,19.4,97.3,9791
1778424000,16,10925,48,52.62,30,2.58,31.8,98.4,9792
1778424002,34,10925,47,43.29,30,2.58,26.1,99.2,9793
1778424003,8,10925,47,44.30,30,2.61,17.0,99.4,9795
1778424005,13,10925,47,52.64,30,2.61,17.9,99.4,9795
1778424007,36,10925,48,43.85,30,2.61,18.6,99.5,9795
1778424009,24,10925,48,55.93,30,2.80,14.6,99.5,9795
1778424010,11,10925,46,43.31,30,2.80,15.2,99.6,9795
1778424012,14,10925,46,53.94,30,2.74,14.3,99.6,9795
1778424014,40,10925,47,43.42,30,2.74,16.1,99.6,9795
1778424016,45,10925,46,44.08,30,2.74,18.2,99.8,9796
1778424018,47,10925,45,53.80,0,2.84,11.1,99.7,9796
1778424020,44,10925,47,43.79,0,2.84,13.4,99.7,9796
1778424021,23,10925,47,60.86,0,2.84,15.9,99.6,9796
1778424023,45,10925,46,49.47,0,3.49,16.3,99.6,9796
1778424025,23,10925,46,52.06,0,3.49,12.2,99.5,9796
1778424027,5,10925,48,43.85,0,3.49,18.1,99.5,9796
1778424029,23,10925,47,48.43,0,3.37,15.2,99.7,9796
1778424031,18,10925,48,49.23,0,3.37,14.5,99.4,9796
1778424033,24,10925,48,46.50,0,3.34,18.7,99.4,9796
1778424035,10,10925,49,47.06,0,3.34,17.6,99.6,9796
1778424037,17,10925,49,42.16,0,3.34,14.3,99.4,9796
1778424039,24,10925,52,50.25,0,3.15,19.1,99.4,9796
1778424041,16,10925,48,52.23,0,3.15,17.1,99.5,9796
1778424043,46,10925,48,44.92,0,3.14,15.4,99.4,9796
1778424044,17,10925,50,74.47,0,3.14,14.9,99.5,9796
1778424046,42,10925,48,44.03,0,3.14,15.9,99.2,9796
1778424048,6,10925,50,56.10,0,3.05,14.4,99.3,9797
1778424050,13,10925,49,49.50,0,3.05,13.9,99.4,9797
1778424052,28,10925,49,43.58,0,3.05,14.0,99.2,9797
1778424054,24,10925,50,63.66,0,2.97,13.4,99.2,9797
1778424055,46,10925,49,43.53,0,2.97,15.2,99.4,9797
1778424057,46,10925,49,45.06,0,2.97,22.1,99.3,9797
1778424059,45,10925,50,60.80,0,3.05,16.2,99.3,9797
1778424061,7,10925,51,42.60,0,3.05,15.2,99.0,9797
1778424063,22,10925,50,52.59,0,2.88,12.9,99.1,9797
1778424065,28,10925,51,44.70,0,2.88,15.0,99.2,9797
1778424067,7,10925,51,50.73,0,2.88,14.5,99.1,9797
1778424069,46,10925,50,44.86,0,3.21,15.2,99.1,9797
1778424071,23,10925,52,46.36,0,3.21,14.6,99.2,9797
1778424072,24,10925,51,54.94,0,3.12,13.4,99.1,9797
1778424074,16,10925,52,43.65,0,3.12,16.1,99.2,9797
1778424076,24,10925,51,63.36,0,3.12,15.2,99.1,9797
