ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424114,30,10925,51,16.83,0,4.24,25.3,99.2,9795
1778424116,27,11095,51,15.56,0,4.24,14.3,99.4,9795
1778424118,91,8404,52,36.31,0,3.90,14.4,99.1,9795
1778424120,12,8404,53,48.37,0,3.90,19.5,99.2,9795
1778424122,12,8404,52,34.96,0,3.90,13.2,99.2,9795
1778424124,99,11124,66,78.02,0,3.99,19.6,99.2,9795
1778424126,48,11124,61,126.89,0,3.99,14.6,99.2,9795
1778424127,58,11124,62,127.93,0,3.99,16.1,99.1,9795
1778424129,54,11124,63,128.40,0,3.99,16.5,99.4,9795
1778424131,59,11124,61,132.44,30,3.99,14.3,99.2,9795
1778424133,45,11124,60,130.88,30,3.75,18.5,99.2,9795
1778424135,58,11124,63,129.51,30,3.75,13.8,99.6,9795
1778424136,47,11124,60,129.59,30,3.75,13.6,99.3,9795
1778424138,55,11124,63,129.36,30,3.45,14.5,99.3,9795
1778424140,46,11124,59,129.83,30,3.45,13.8,99.5,9795
1778424142,42,11124,61,128.59,30,3.45,14.2,99.4,9795
1778424144,58,11124,62,130.20,30,3.41,13.7,99.2,9795
1778424146,51,11124,59,130.11,30,3.41,15.0,99.3,9795
1778424148,57,11124,62,128.45,30,3.86,13.3,99.2,9795
1778424149,50,11124,59,129.76,30,3.86,13.1,99.4,9795
1778424151,47,11124,59,128.09,30,3.86,20.6,99.3,9795
1778424153,50,11124,59,128.70,30,3.79,16.3,99.3,9795
1778424155,52,11124,59,128.90,30,3.79,15.4,97.6,9795
1778424157,50,11124,58,128.80,30,3.79,13.7,97.5,9795
1778424158,45,11124,58,128.85,30,3.89,15.6,97.5,9795
