ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424250,37,11196,44,21.04,30,3.04,16.5,98.4,9796
1778424252,34,11196,44,15.98,30,3.04,16.5,98.8,9796
1778424254,15,8570,44,33.95,30,3.04,14.3,97.9,9796
1778424256,64,11328,55,100.43,30,3.04,16.5,97.9,9796
1778424258,48,11328,52,129.35,30,2.88,14.7,97.9,9796
1778424261,51,11328,53,129.56,30,2.88,13.7,97.8,9796
1778424263,58,11328,51,131.59,30,2.89,14.9,97.8,9796
1778424265,59,11328,54,131.15,30,2.89,15.3,97.8,9796
1778424267,64,11328,52,132.72,30,2.89,20.2,97.9,9796
1778424269,56,11328,52,133.21,30,2.98,20.4,98.0,9796
