ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424276,22,11328,43,22.23,30,2.90,13.1,94.6,9796
1778424278,36,11337,43,18.95,30,2.91,13.5,95.2,9796
1778424280,29,8570,44,37.23,30,2.91,12.0,95.2,9796
1778424282,31,11280,44,48.78,30,2.91,12.5,95.1,9796
1778424284,50,11280,52,130.39,30,2.83,12.5,95.1,9796
1778424286,54,11280,53,129.49,30,2.83,14.0,95.1,9796
1778424287,62,11280,51,131.45,30,2.83,13.3,95.2,9796
1778424289,51,11280,52,129.62,30,2.77,11.5,95.9,9796
1778424291,57,11280,54,130.37,30,2.77,12.0,95.7,9796
1778424293,56,11280,54,131.06,30,2.70,13.2,95.5,9796
