ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424301,22,11280,43,22.24,30,2.73,15.6,95.1,9796
1778424303,33,1015,43,17.08,30,2.91,14.4,95.6,9796
1778424305,43,8570,43,34.38,30,2.91,13.5,95.6,9796
1778424307,3,11328,44,47.61,30,2.91,19.1,95.5,9796
1778424309,54,11328,51,130.66,30,2.92,15.6,96.2,9796
1778424310,55,11328,52,129.56,30,2.92,15.1,96.1,9796
1778424312,54,11328,50,131.99,30,2.92,16.7,96.3,9796
1778424314,58,11328,53,132.03,30,3.08,16.2,96.3,9796
1778424316,64,11328,51,133.06,30,3.08,14.5,96.1,9796
1778424318,54,11328,51,131.32,30,3.32,12.2,96.0,9796
1778424319,50,11328,53,131.37,30,3.32,13.5,96.1,9796
1778424321,55,11328,54,130.82,30,3.32,23.0,96.0,9796
1778424323,57,11328,53,131.45,30,3.21,13.9,96.0,9796
1778424325,58,11328,54,132.13,30,3.21,13.0,95.9,9796
1778424327,60,11328,54,132.73,30,3.21,24.3,95.8,9796
1778424329,59,11328,51,133.53,30,3.19,13.9,96.1,9796
1778424331,63,11328,52,133.42,30,3.19,12.6,96.1,9796
1778424332,60,11328,54,132.76,30,3.19,13.8,96.2,9796
