ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424340,24,11328,44,22.39,30,3.16,17.5,96.0,9796
1778424342,34,11336,43,19.60,30,3.16,14.3,95.9,9796
1778424344,62,8570,44,36.22,30,2.99,14.6,95.9,9796
1778424345,3,11328,45,48.40,30,2.99,13.5,96.0,9796
1778424347,59,11328,49,131.13,30,2.99,15.3,96.0,9796
1778424349,56,11328,50,130.82,30,3.23,15.1,95.8,9796
1778424351,52,11328,52,130.50,30,3.23,12.6,95.8,9796
1778424353,59,11328,50,132.95,30,2.97,13.8,95.8,9796
1778424354,61,11328,51,131.93,30,2.97,13.7,95.8,9796
1778424356,51,11338,53,132.22,30,2.97,13.5,95.8,9796
1778424358,50,11334,53,132.04,30,2.97,13.7,95.9,9796
1778424360,53,11334,53,132.10,30,2.97,13.6,96.0,9796
1778424362,51,11334,54,131.30,30,2.97,14.8,95.9,9796
1778424363,53,11334,52,132.38,30,2.74,18.7,96.2,9796
1778424365,54,11334,52,132.56,30,2.74,13.2,96.2,9796
1778424367,58,11334,55,130.98,30,2.74,12.4,96.0,9796
1778424369,47,11334,54,131.22,30,2.60,13.5,95.9,9796
1778424371,63,11334,53,132.11,30,2.60,13.7,96.0,9796
1778424372,50,11334,55,132.14,30,2.60,12.5,96.2,9796
1778424374,4,11334,49,118.34,30,2.71,19.0,95.8,9796
