ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424382,31,11334,44,20.61,30,2.65,19.1,95.8,9796
1778424384,11,1021,44,24.09,30,2.52,14.4,96.0,9796
1778424386,28,8576,45,47.91,30,2.52,13.1,96.0,9796
1778424388,64,11334,51,114.25,30,2.64,13.2,96.1,9796
1778424390,63,11334,50,131.46,30,2.64,15.7,96.3,9796
1778424392,58,11334,50,130.95,30,2.64,13.4,96.1,9796
1778424394,53,11334,52,130.09,30,2.67,12.1,95.8,9796
1778424395,50,11334,53,132.58,30,2.67,10.8,95.9,9796
1778424397,50,11334,54,132.08,30,2.67,14.5,96.0,9796
1778424399,60,11334,53,132.08,30,2.69,12.9,96.0,9796
1778424401,52,11334,52,130.37,30,2.69,14.8,95.9,9796
1778424403,65,11334,53,133.27,30,2.72,12.9,95.9,9796
1778424405,51,11334,53,132.14,30,2.72,12.3,95.7,9796
1778424407,50,11334,54,131.51,30,2.72,13.7,95.5,9796
1778424408,3,11334,49,114.07,30,2.58,13.8,95.2,9796
