ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424416,31,11334,44,21.21,30,2.61,12.1,95.9,9796
1778424418,43,11515,43,15.92,30,2.56,14.8,96.1,9796
1778424420,97,8576,44,34.90,30,2.56,12.2,96.2,9796
1778424422,41,11334,44,50.29,30,2.56,13.0,96.0,9796
1778424424,51,11334,51,130.65,30,2.60,12.8,96.1,9796
1778424425,51,11334,50,129.54,30,2.60,15.7,96.3,9796
1778424427,63,11334,51,131.82,30,2.60,12.6,96.2,9796
1778424429,56,11334,53,132.99,30,2.47,12.6,95.7,9796
1778424431,52,11334,53,131.06,30,2.47,12.6,95.7,9796
1778424432,60,11334,51,132.15,30,2.67,13.8,95.9,9796
1778424434,62,11334,51,132.76,30,2.67,11.7,96.0,9796
1778424436,63,11334,52,132.88,30,2.67,15.6,96.0,9796
1778424438,64,11334,53,134.87,30,2.86,14.4,96.1,9796
1778424440,64,11334,53,133.63,30,2.86,12.2,95.9,9796
1778424442,63,11334,53,133.24,30,2.86,14.3,95.7,9796
1778424444,64,11334,53,134.37,30,2.95,13.6,95.9,9796
1778424445,3,11334,48,104.76,30,2.95,15.6,95.6,9796
