ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424453,32,11334,43,19.90,30,3.03,13.2,95.4,9796
1778424455,5,1021,43,19.93,30,3.03,14.7,95.8,9796
1778424457,29,8576,44,44.70,30,3.03,13.2,95.6,9796
1778424459,100,11334,57,95.04,30,2.79,26.7,95.5,9796
1778424461,62,11334,51,130.85,30,2.79,12.6,95.6,9796
1778424463,53,11334,51,132.85,30,2.79,14.4,96.0,9796
1778424464,51,11334,51,129.98,30,2.72,13.7,95.8,9796
1778424466,60,11334,51,132.28,30,2.72,15.2,96.0,9796
1778424468,64,11334,52,132.81,30,2.83,12.9,96.1,9796
1778424470,55,11334,54,132.88,30,2.83,13.5,96.3,9796
1778424471,50,11334,54,131.35,30,2.83,13.2,96.0,9796
1778424473,52,11334,52,132.44,30,2.92,12.5,96.0,9796
1778424475,54,11334,52,132.53,30,2.92,13.8,96.2,9796
1778424477,50,11334,55,131.11,30,2.92,12.1,96.0,9796
1778424479,51,11334,55,132.05,30,2.85,12.1,95.9,9796
1778424481,52,11334,55,133.36,30,2.85,11.1,96.2,9796
1778424482,56,11334,55,133.61,30,2.85,11.2,95.8,9796
1778424484,65,11334,53,133.74,30,2.78,16.2,96.1,9796
1778424486,60,11334,52,134.82,30,2.78,11.4,95.8,9796
1778424488,51,11334,56,132.53,30,2.64,14.6,96.0,9796
