ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424497,24,11334,44,22.69,30,2.58,28.6,94.4,118
1778424498,32,11515,44,17.28,30,2.54,12.7,95.2,118
1778424500,29,8576,44,36.56,30,2.54,22.8,90.5,115
1778424502,54,11286,45,49.41,30,2.54,14.5,92.0,115
1778424504,52,11286,53,130.43,30,2.41,12.1,91.9,115
1778424506,60,11286,50,132.15,30,2.41,20.2,99.6,115
1778424508,50,11286,53,131.21,30,2.41,24.3,83.4,115
1778424509,49,11286,52,130.99,30,2.70,14.1,84.4,116
1778424511,59,11286,53,133.11,30,2.70,19.9,85.2,116
1778424513,50,11286,54,133.06,30,2.65,11.3,85.4,116
1778424515,50,11286,52,131.60,30,2.65,13.1,85.5,116
1778424517,53,11286,55,133.17,30,2.65,12.1,85.5,116
1778424519,62,11286,53,134.06,30,2.51,11.8,85.6,116
1778424521,61,11286,52,133.95,30,2.51,11.6,85.6,116
1778424522,63,11286,53,133.48,30,2.51,14.1,85.7,116
1778424524,58,11286,56,134.54,30,2.47,12.9,85.7,116
1778424526,63,11286,54,134.67,30,2.47,11.5,85.4,116
1778424528,57,11286,52,134.10,30,2.75,11.9,85.3,116
1778424530,64,11286,54,135.09,30,2.75,12.0,85.4,116
1778424532,59,11286,56,134.38,30,2.75,12.3,85.4,116
1778424534,59,11286,56,135.19,30,2.77,11.8,85.3,116
1778424536,52,11286,56,133.74,30,2.77,12.4,85.7,116
1778424537,3,11286,50,124.73,30,2.77,21.0,85.4,116
