ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424545,24,11286,45,22.74,30,2.65,16.4,86.0,116
1778424547,31,11286,44,16.48,30,2.65,13.3,86.1,116
1778424548,11,8576,44,34.33,30,2.52,12.8,86.3,116
1778424550,58,11286,45,49.60,30,2.52,15.9,86.3,116
1778424552,61,11286,52,129.49,30,2.52,12.6,86.3,116
1778424554,55,11286,54,130.50,30,2.56,13.8,86.4,116
1778424556,55,11286,52,130.27,30,2.56,18.5,86.6,116
1778424558,61,11286,52,129.63,30,2.59,11.8,86.6,116
1778424560,61,11286,51,130.81,30,2.59,13.7,86.7,116
1778424562,53,11286,54,129.62,30,2.59,12.3,86.5,116
1778424564,60,11286,54,130.21,30,2.95,13.5,86.4,116
1778424565,63,11286,52,131.39,30,2.95,12.1,86.6,116
1778424567,60,11286,51,131.16,30,2.95,16.8,86.5,116
1778424569,53,11286,52,130.21,30,2.95,13.8,86.6,116
1778424571,55,11286,53,129.55,30,2.95,12.6,86.7,116
1778424573,53,11286,55,131.70,30,2.95,10.7,86.5,116
1778424574,50,11286,54,129.84,30,2.79,11.8,86.5,116
1778424576,4,1021,48,97.10,30,2.79,12.5,86.5,116
1778424578,26,8410,47,41.99,30,2.73,15.3,86.6,116
1778424580,4,11228,52,40.23,30,2.73,10.8,86.6,116
1778424582,46,11228,54,124.35,30,2.73,11.7,86.5,116
1778424583,43,11228,52,124.30,30,2.67,12.4,86.6,116
1778424585,49,11228,54,123.88,30,2.67,18.7,86.9,116
1778424587,53,11228,55,126.30,30,2.67,14.0,86.6,116
1778424589,48,11228,54,125.29,30,2.78,11.5,86.6,116
1778424591,44,11228,53,123.99,30,2.78,19.4,86.4,116
1778424594,50,11228,55,125.09,30,2.56,12.8,86.3,116
1778424595,43,11228,52,125.59,30,2.56,13.1,86.5,116
1778424597,47,11228,52,125.27,30,2.56,18.4,86.4,116
1778424599,59,11228,55,126.38,30,2.35,13.7,86.5,116
1778424601,49,11228,54,127.18,30,2.35,12.2,86.2,116
1778424603,43,11228,52,126.00,30,2.32,14.7,86.2,116
1778424605,52,11228,53,125.81,30,2.32,12.8,86.2,116
1778424607,58,11228,56,125.70,30,2.32,18.2,86.4,116
1778424608,65,8244,49,48.21,30,2.30,12.4,86.4,116
1778424610,13,11158,48,49.66,30,2.30,12.1,86.4,116
1778424612,52,11158,55,157.13,30,2.30,13.3,86.4,116
1778424614,42,11158,52,119.35,30,2.11,12.6,86.3,116
1778424615,43,11158,52,117.75,30,2.11,12.3,86.4,116
1778424617,53,11158,55,118.53,30,2.11,12.4,86.3,116
1778424619,43,11158,53,119.27,30,2.18,14.2,86.4,116
1778424621,43,11158,53,118.53,30,2.18,10.2,86.4,116
1778424623,43,11158,53,119.08,30,2.18,25.1,85.4,118
1778424625,47,11158,53,119.11,30,2.17,10.2,86.1,119
1778424627,45,11158,52,118.16,30,2.17,11.4,86.1,119
1778424629,49,11158,54,119.07,30,2.15,12.9,86.2,119
1778424631,52,11158,55,120.11,30,2.15,13.8,86.2,119
1778424632,51,11158,56,120.30,30,2.15,16.1,86.4,119
1778424634,43,11158,53,120.29,30,2.14,12.9,86.0,119
1778424636,49,11158,55,118.88,30,2.14,11.8,85.9,119
1778424638,43,11158,52,118.27,30,1.97,15.2,86.1,119
1778424640,5,1202,49,72.01,30,1.97,14.3,86.4,119
1778424642,29,8076,47,37.22,30,1.97,19.9,84.2,119
1778424644,97,11078,62,139.64,30,1.89,12.1,81.3,119
1778424646,43,11078,55,113.71,30,1.89,11.6,81.4,119
1778424647,41,11078,53,113.97,30,1.89,16.5,81.5,119
1778424649,42,11078,53,114.72,30,1.82,11.2,81.6,119
1778424651,43,11078,51,112.00,30,1.82,13.5,81.5,119
1778424653,46,11078,53,113.08,30,1.83,12.8,81.6,119
1778424655,42,11078,55,114.16,30,1.83,11.6,81.7,119
1778424657,42,11078,55,114.65,30,1.83,17.7,81.8,119
1778424659,43,11078,52,114.23,30,1.93,15.4,81.8,119
1778424661,42,11078,55,114.04,30,1.93,12.6,81.8,119
1778424663,43,11078,54,113.37,30,1.93,12.5,81.8,119
1778424664,43,11078,52,112.47,30,2.01,12.9,81.8,119
1778424666,46,11078,54,114.55,30,2.01,13.2,81.8,119
1778424668,43,11078,52,112.41,30,1.93,14.5,81.9,119
1778424670,42,11078,53,113.40,30,1.93,15.7,82.1,119
1778424672,44,11078,55,114.13,30,1.93,13.5,82.0,119
1778424673,43,11078,52,112.68,30,1.94,14.7,82.0,119
