ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778424682,30,11078,45,22.17,30,1.86,18.6,81.7,119
1778424684,37,11078,44,16.13,30,2.03,24.6,81.8,119
1778424686,13,1021,44,28.04,30,2.03,13.8,82.0,119
1778424687,29,8576,45,43.60,30,2.03,15.5,82.0,119
1778424689,63,11334,50,126.31,30,1.95,13.9,82.1,119
1778424691,62,11334,52,132.36,30,1.95,14.5,81.9,119
1778424693,60,11334,50,131.94,30,2.11,12.8,82.0,119
1778424695,60,11334,53,133.28,30,2.11,13.1,82.0,119
1778424697,50,11334,54,132.30,30,2.11,14.3,81.9,119
1778424698,47,11334,53,130.24,30,2.02,16.9,82.0,119
1778424700,54,11334,52,132.83,30,2.02,13.8,82.0,119
1778424702,47,11334,53,130.97,30,2.02,13.7,82.1,119
1778424704,53,11334,52,132.16,30,1.94,13.7,82.1,119
1778424706,50,11334,54,131.38,30,1.94,14.2,82.1,119
1778424707,49,11334,54,131.94,30,1.94,14.0,82.1,119
1778424709,51,11334,53,132.58,30,2.03,15.7,82.3,119
1778424711,50,11334,54,132.45,30,2.03,13.8,82.0,119
1778424713,57,11334,56,133.10,30,2.03,13.6,82.2,119
1778424714,60,11334,53,133.77,30,2.18,13.6,82.3,119
1778424716,49,11334,55,133.13,30,2.18,16.1,82.2,119
