ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429250,25,1012,43,13.65,0,2.25,9.2,68.1,119
1778429252,24,10465,45,37.86,0,2.25,10.1,68.0,119
1778429254,23,10467,46,50.26,0,2.23,11.6,68.1,119
1778429255,97,10473,55,63.94,0,2.23,7.9,68.1,119
1778429257,96,10473,58,205.12,0,2.23,8.6,68.1,119
1778429259,96,10473,59,206.41,0,2.21,8.4,68.3,119
1778429260,96,10473,61,207.15,0,2.21,8.0,68.0,119
1778429262,96,10473,61,208.00,0,2.21,11.5,72.3,119
1778429264,96,10473,62,209.66,30,2.20,11.5,71.6,119
1778429266,96,10473,62,209.91,30,2.20,11.0,71.3,119
1778429267,97,10473,63,210.62,30,2.20,17.1,71.4,119
1778429269,97,10473,63,210.50,30,2.34,11.0,71.5,119
