ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429356,29,11071,43,16.07,0,4.05,10.7,72.3,119
1778429358,4,1410,43,32.93,0,4.05,11.4,72.4,119
1778429360,32,11191,45,46.51,0,3.88,11.2,72.5,119
1778429361,31,11191,44,34.94,0,3.88,11.7,72.5,119
1778429363,3,11191,44,32.87,0,3.88,11.4,72.6,119
1778429365,22,11195,47,84.64,0,3.65,10.8,72.5,119
1778429367,34,11195,46,41.66,0,3.65,11.5,72.4,119
1778429368,34,11195,45,41.03,0,3.65,11.7,72.6,119
1778429370,41,11195,45,41.52,0,3.84,11.5,72.2,119
1778429372,30,11195,46,40.73,0,3.84,10.9,72.4,119
1778429374,42,11195,46,40.75,0,3.85,12.4,72.6,119
1778429376,43,11195,46,40.55,0,3.85,14.1,72.4,119
1778429377,32,11195,45,40.27,0,3.85,11.2,72.4,119
1778429379,39,11195,46,40.14,0,3.78,11.8,72.4,119
1778429381,41,11195,46,40.05,0,3.78,11.5,72.3,119
1778429382,31,11194,46,37.74,0,3.78,11.5,72.4,119
1778429384,43,11194,46,40.13,0,3.80,11.5,72.3,119
1778429386,40,11194,47,40.17,0,3.80,11.2,72.4,119
1778429388,34,11194,47,39.89,0,3.80,17.8,72.5,119
1778429389,42,11194,47,39.76,0,3.66,13.2,72.2,119
