ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429432,35,11194,48,21.90,0,2.92,11.1,71.6,119
1778429434,26,11194,52,81.72,0,2.84,10.8,71.5,119
1778429436,35,11194,51,43.07,0,2.84,11.3,71.5,119
1778429438,35,11194,50,42.92,0,2.84,11.8,71.7,119
1778429440,30,11194,50,42.50,0,2.78,11.8,71.6,119
1778429441,42,11194,50,42.94,0,2.78,11.2,71.6,119
1778429443,34,11194,50,42.20,0,2.78,11.5,71.6,119
1778429445,33,11194,50,41.96,0,2.79,12.0,71.6,119
1778429446,33,11194,50,42.14,0,2.79,11.7,71.5,119
1778429448,42,11194,50,41.95,0,2.79,11.1,71.6,119
1778429450,41,11194,50,41.90,0,2.81,11.4,71.5,119
1778429451,43,11194,51,41.99,0,2.81,11.5,71.5,119
1778429453,32,11194,51,41.76,0,2.81,11.8,71.6,119
1778429455,37,11194,50,41.76,0,2.75,11.3,71.5,119
1778429457,36,11194,51,41.55,0,2.75,11.8,71.5,119
1778429459,42,11194,50,41.88,0,2.85,11.2,71.7,119
1778429460,32,11194,50,41.60,0,2.85,13.1,71.6,119
1778429462,44,11194,51,41.50,0,2.85,12.3,71.4,119
1778429464,33,11194,51,40.86,0,2.70,11.0,71.6,119
1778429466,36,11194,51,41.21,0,2.70,13.1,71.5,119
1778429467,46,11194,51,42.02,0,2.70,10.1,71.5,119
1778429469,41,11194,51,41.92,0,2.64,11.0,71.6,119
1778429471,33,11194,51,41.41,0,2.64,11.2,71.4,119
1778429473,33,11194,51,41.66,0,2.64,13.5,71.6,119
1778429474,32,11194,51,41.73,0,2.51,11.1,71.4,119
