ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429511,99,10724,50,24.52,30,4.31,19.3,71.9,119
1778429513,58,10726,63,143.22,30,4.31,12.5,71.9,119
1778429514,35,10726,50,73.51,30,4.53,10.8,71.3,119
1778429516,15,10726,50,44.47,30,4.53,10.6,71.4,119
1778429518,25,10726,50,68.48,30,4.53,10.5,71.6,119
1778429520,48,10726,50,52.75,30,4.24,9.3,71.4,119
1778429521,23,10726,51,78.71,30,4.24,10.2,71.4,119
1778429523,31,10726,49,51.35,30,4.24,15.8,71.4,119
1778429525,25,10726,49,57.20,30,3.90,10.6,71.4,119
1778429527,38,10726,47,44.05,30,3.90,10.0,71.4,119
1778429528,24,10726,48,63.92,30,3.90,10.6,71.4,119
1778429530,46,10726,48,53.17,30,3.91,10.0,68.3,119
1778429532,9,10726,47,55.44,30,3.91,9.2,68.2,119
1778429534,16,10726,46,43.61,30,3.91,13.1,68.3,119
1778429535,36,10726,46,44.44,30,3.76,8.8,68.3,119
1778429537,24,10726,49,62.45,30,3.76,7.8,68.3,119
