ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429893,33,10944,51,16.77,0,2.95,19.4,80.5,119
1778429895,29,11125,51,15.36,0,2.95,14.8,80.8,119
1778429897,4,8576,52,34.60,0,2.95,15.5,80.8,119
1778429899,12,8576,53,48.76,0,2.95,15.2,81.0,119
1778429900,12,8576,52,34.53,0,3.12,13.3,80.9,119
1778429902,47,11250,61,38.94,0,3.12,13.5,80.7,119
1778429904,48,11250,61,128.49,0,2.95,14.1,80.4,119
1778429906,47,11250,62,129.13,0,2.95,14.8,80.4,119
1778429908,53,11250,60,131.97,0,2.95,14.5,80.8,119
1778429910,53,11250,60,131.80,30,2.95,14.6,78.9,119
1778429911,47,11250,62,129.26,30,2.95,15.9,78.8,119
1778429913,45,11250,59,129.79,30,2.95,15.7,78.9,119
1778429915,53,11250,62,131.77,30,3.36,14.1,82.7,119
1778429917,45,11250,59,129.00,30,3.36,17.0,81.9,119
