ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429923,21,11250,51,23.51,30,3.49,13.6,81.6,119
1778429925,39,11250,50,22.75,30,3.61,12.4,81.7,119
1778429926,97,8576,51,35.46,30,3.61,14.2,81.6,119
1778429928,11,11296,51,50.12,30,3.61,14.2,81.7,119
1778429930,59,11296,58,128.47,30,3.56,12.2,81.5,119
1778429931,62,11296,56,128.89,30,3.56,11.5,81.5,119
1778429933,42,11296,58,121.66,30,3.56,12.5,81.8,119
1778429935,43,11252,54,116.14,30,3.59,11.7,81.5,119
1778429937,53,11254,55,125.52,30,3.59,11.6,81.5,119
1778429939,44,11254,58,126.14,30,3.59,12.5,81.7,119
1778429940,41,11254,56,127.12,30,3.71,13.3,81.6,119
1778429942,57,11254,53,128.16,30,3.71,20.2,80.9,119
