ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778429949,0,11254,46,17.63,30,3.73,11.1,81.5,119
1778429950,1,1145,46,11.68,30,3.59,11.7,81.7,119
1778429952,21,8534,47,35.91,30,3.59,11.5,81.7,119
1778429954,95,11254,59,67.40,30,3.54,15.6,81.6,119
1778429956,46,11254,55,124.98,30,3.54,15.1,81.7,119
1778429958,45,11254,53,124.58,30,3.54,14.2,81.7,119
1778429960,52,11254,52,127.18,30,3.90,12.0,81.6,119
1778429962,57,11254,53,126.75,30,3.90,12.2,81.7,119
1778429963,39,11254,54,126.07,30,3.90,11.8,81.8,119
1778429965,53,11254,53,126.28,30,3.59,11.6,81.7,119
1778429967,41,11254,54,126.25,30,3.59,10.9,81.7,119
1778429969,57,11254,54,128.03,30,3.59,12.0,81.8,119
1778429971,50,11254,52,124.98,30,3.46,11.3,81.7,119
1778429972,44,11254,54,127.32,30,3.46,11.6,81.7,119
1778429974,48,11254,56,124.99,30,3.34,12.7,81.6,119
1778429976,53,11254,54,128.11,30,3.34,14.6,81.7,119
1778429978,44,11254,53,126.55,30,3.34,13.4,81.8,119
1778429979,55,11254,56,125.53,30,3.48,11.3,81.7,119
1778429981,41,11256,54,126.54,30,3.48,13.1,81.7,119
1778429983,38,11256,53,127.00,30,3.48,18.8,81.5,119
1778429985,0,11256,47,40.23,30,3.36,18.6,81.4,119
1778429986,0,11256,46,20.26,30,3.36,17.7,81.2,119
1778429988,0,11256,45,19.95,30,3.36,18.1,81.3,119
1778429990,0,11256,45,14.70,30,3.57,17.9,81.3,119
1778429991,0,11252,44,6.32,30,3.57,19.3,81.3,119
1778429993,0,11252,43,5.51,30,3.57,18.5,81.5,119
1778429995,0,11252,43,5.45,30,3.36,17.6,81.2,119
1778429997,0,11246,42,5.86,30,3.36,17.7,81.4,119
1778429999,0,11256,42,5.99,0,3.36,19.2,81.3,119
1778430001,7,11266,42,5.65,0,3.65,18.7,81.4,119
1778430002,0,11266,42,5.05,0,3.65,18.0,81.2,119
1778430004,1,11266,42,5.06,0,3.65,18.5,81.1,119
1778430006,0,11266,42,4.98,0,3.60,17.6,81.3,119
1778430007,0,11266,42,4.98,0,3.60,17.6,81.3,119
1778430009,42,11266,42,5.67,0,3.60,18.4,81.2,119
1778430011,0,11266,42,6.88,0,3.63,17.6,81.2,119
1778430012,0,11266,42,4.37,0,3.63,18.0,81.2,119
1778430014,1,11266,42,4.48,0,3.63,17.2,81.1,119
1778430016,1,11266,42,4.37,0,3.82,17.2,81.2,119
1778430017,0,11266,42,4.36,0,3.82,17.8,81.2,119
1778430019,0,11266,42,4.47,0,3.82,18.6,81.2,119
1778430021,0,11266,41,4.46,0,4.00,18.6,81.2,119
1778430023,0,11266,42,4.56,0,4.00,19.6,81.2,119
1778430024,1,11266,41,4.57,0,3.92,17.7,81.1,119
1778430026,0,11266,41,4.59,0,3.92,18.2,81.3,119
1778430028,0,11266,41,4.46,0,3.92,19.5,81.2,119
1778430029,0,11266,41,4.49,0,4.08,17.6,81.1,119
1778430031,0,11266,41,4.50,0,4.08,19.5,80.9,119
1778430033,0,11266,41,4.47,0,4.08,19.2,81.0,119
1778430034,0,11266,41,4.37,0,4.16,18.2,80.8,119
1778430036,0,11266,41,4.45,0,4.16,18.1,80.9,119
1778430038,0,11266,41,4.42,0,4.16,19.4,81.0,119
1778430039,0,11266,41,5.22,0,4.70,18.3,80.9,119
1778430041,1,11266,41,5.35,0,4.70,19.0,80.9,119
1778430043,0,11266,41,5.26,0,4.70,18.6,81.0,119
