ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430069,13,11552,46,21.60,0,3.87,14.1,81.2,119
1778430071,9,10978,46,23.06,0,3.87,11.6,81.5,119
1778430073,34,8612,47,34.62,0,3.87,12.0,81.7,119
1778430074,3,11286,48,48.44,0,3.72,11.6,81.5,119
1778430076,61,11286,54,125.61,0,3.72,12.4,81.4,119
1778430078,49,11286,53,125.13,0,3.72,11.6,81.6,119
1778430080,58,11286,55,127.35,0,3.59,11.8,81.5,119
1778430081,56,11286,57,126.71,0,3.59,12.5,81.5,119
1778430083,59,11286,56,127.75,0,3.59,12.0,81.6,119
1778430085,56,11286,59,127.68,0,3.46,11.8,81.5,119
1778430087,61,11286,57,128.61,0,3.46,12.1,81.5,119
1778430088,47,11286,59,127.06,0,3.46,11.6,81.6,119
