ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430095,21,11286,50,22.45,0,3.47,12.4,81.2,119
1778430097,5,1223,51,24.70,0,3.47,12.2,81.0,119
1778430099,28,8612,52,38.01,0,3.47,13.2,81.1,119
1778430101,94,11378,64,76.83,0,3.27,13.1,81.0,119
1778430102,47,11378,60,128.49,0,3.27,11.7,80.4,119
1778430104,58,11378,61,130.57,0,3.27,11.5,81.1,119
1778430106,50,11378,61,129.38,0,3.49,11.9,80.9,119
1778430107,61,11378,61,130.81,0,3.49,12.7,80.9,119
1778430109,46,11378,59,132.33,30,3.53,11.8,81.0,119
1778430111,54,11378,60,133.30,30,3.53,11.8,80.9,119
1778430113,48,11378,62,130.36,30,3.53,12.2,81.0,119
1778430115,46,11378,60,129.97,30,3.41,12.8,80.9,119
1778430116,52,11378,62,131.26,30,3.41,12.5,80.9,119
1778430118,46,11378,58,129.95,30,3.41,12.6,81.1,119
