ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430125,20,11378,50,22.95,30,3.48,13.7,80.8,119
1778430127,5,1223,50,24.96,30,3.48,12.6,81.9,119
1778430129,21,8612,50,38.25,30,3.48,21.8,81.8,119
1778430130,97,11332,61,69.90,30,4.00,15.8,81.7,119
1778430132,57,11332,58,127.64,30,4.00,14.0,82.0,119
1778430134,49,11332,54,127.75,30,4.32,12.3,81.9,119
1778430136,48,11332,54,128.88,30,4.32,11.4,81.7,119
1778430139,45,11332,57,126.25,30,4.32,12.6,81.8,119
1778430140,59,11332,58,128.24,30,4.29,12.7,81.8,119
1778430142,43,11332,56,126.63,30,4.29,13.9,81.5,119
