ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430149,23,11332,46,22.23,30,4.27,13.8,81.4,119
1778430150,24,1223,46,22.01,30,4.17,12.0,81.5,119
1778430152,28,8612,47,38.81,30,4.17,12.0,81.5,119
1778430154,4,11332,47,48.98,30,4.17,11.4,81.6,119
1778430155,48,11332,54,124.05,30,4.47,22.9,81.7,119
1778430157,54,11332,52,129.06,30,4.47,12.1,80.9,119
1778430159,44,11332,53,126.25,30,4.28,18.0,81.1,119
1778430161,49,11332,55,125.22,30,4.28,11.1,81.0,119
1778430163,50,11332,52,126.94,30,4.28,17.9,81.2,119
1778430165,57,11332,53,127.68,30,4.41,12.2,81.1,119
1778430166,42,11332,54,125.01,30,4.41,14.1,81.0,119
1778430168,61,11332,53,126.88,30,4.41,11.7,81.1,119
1778430170,57,11332,56,130.42,30,4.22,16.2,80.9,119
1778430172,57,11332,53,127.49,30,4.22,13.1,80.9,119
1778430174,54,11332,56,127.91,30,4.22,12.2,81.0,119
1778430175,53,11332,53,126.94,30,4.12,12.9,81.0,119
1778430177,53,11332,56,127.28,30,4.12,14.7,81.0,119
1778430179,52,11332,56,126.05,30,3.87,12.3,81.2,119
1778430181,52,11332,56,125.66,30,3.87,12.4,81.1,119
1778430183,59,11332,56,126.21,30,3.87,11.1,81.1,119
1778430185,55,11332,53,125.99,30,3.72,10.2,81.0,119
1778430187,58,11332,54,126.56,30,3.72,11.7,81.8,119
1778430189,55,11332,53,126.37,30,3.72,12.1,81.7,119
1778430191,60,11332,54,126.60,30,3.58,11.4,81.5,119
1778430192,44,11332,55,127.03,30,3.58,12.9,81.4,119
1778430194,52,11332,53,128.04,30,3.58,12.3,81.4,119
1778430196,57,11332,56,126.23,30,3.54,24.3,81.3,119
1778430198,43,11332,53,127.49,30,3.54,12.7,81.4,119
1778430200,49,11332,53,127.94,30,3.65,12.4,81.3,119
1778430201,46,11332,55,126.22,30,3.65,22.3,81.4,119
1778430203,58,11332,57,128.33,30,3.65,11.1,81.6,119
1778430205,58,11332,55,127.79,30,3.60,11.6,81.4,119
1778430207,45,11332,53,122.49,30,3.60,19.2,81.5,119
1778430209,43,11332,53,124.33,30,3.60,15.1,81.6,119
