ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430216,3,11332,46,26.19,30,3.58,18.0,81.3,119
1778430218,7,1404,45,34.16,30,3.58,13.3,81.0,119
1778430220,24,8612,46,46.80,30,3.53,17.8,81.1,119
1778430221,55,11286,53,102.46,30,3.53,14.3,81.1,119
1778430223,45,11261,52,124.80,30,3.53,11.3,81.1,119
1778430225,50,11253,54,127.11,30,3.57,11.6,81.0,119
1778430227,46,11253,52,124.64,30,3.57,12.5,81.0,119
1778430228,49,11253,54,126.75,30,3.57,11.8,81.1,119
1778430230,45,11253,52,124.33,30,3.45,11.2,80.8,119
1778430232,56,11253,54,127.33,30,3.45,12.7,80.8,119
1778430234,50,11253,55,127.29,30,3.45,12.2,80.8,119
1778430235,46,11253,53,124.43,30,3.25,12.6,80.9,119
1778430237,52,11253,52,126.39,30,3.25,11.5,80.9,119
1778430239,50,11253,55,126.43,30,3.25,12.5,80.9,119
1778430241,58,11253,54,127.28,30,3.31,11.5,81.0,119
1778430242,48,11253,53,126.36,30,3.31,12.1,80.9,119
1778430244,53,11253,55,125.65,30,3.31,11.3,80.9,119
1778430246,45,11253,53,125.15,30,3.36,16.0,81.8,119
1778430248,54,11253,55,126.93,30,3.36,13.3,81.9,119
1778430249,44,11253,56,125.85,30,3.50,11.3,81.8,119
1778430251,54,11253,55,128.52,30,3.50,11.4,81.8,119
1778430253,46,11253,56,126.97,30,3.50,11.9,81.9,119
1778430255,58,11253,53,127.76,30,3.46,12.8,81.8,119
1778430257,33,11253,55,125.55,30,3.46,16.1,81.3,119
