ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778430263,26,11300,45,21.82,30,3.50,11.9,81.5,119
1778430265,10,1588,45,33.52,30,3.38,11.1,81.4,119
1778430267,13,10907,46,46.18,30,3.38,11.0,81.4,119
1778430269,25,10907,44,35.14,30,3.38,12.4,81.5,119
1778430270,3,10907,44,33.33,30,3.27,12.5,81.4,119
1778430272,20,10911,46,70.92,30,3.27,11.3,81.3,119
1778430274,40,10911,44,39.00,30,3.27,11.5,81.3,119
1778430276,30,10911,44,38.68,30,3.25,11.7,81.3,119
1778430278,30,10911,44,37.82,30,3.25,13.3,81.6,119
1778430279,41,10911,43,37.78,30,3.31,11.6,81.4,119
1778430281,30,10911,43,37.20,30,3.31,11.1,81.4,119
1778430283,36,10911,43,37.19,30,3.31,11.4,81.6,119
1778430285,44,10911,42,36.93,30,3.52,10.8,81.4,119
1778430287,32,10911,43,36.82,30,3.52,12.4,81.4,119
1778430288,35,10911,42,36.57,30,3.52,11.7,81.3,119
1778430290,35,10911,42,35.99,0,3.40,11.1,81.2,119
1778430292,33,10911,42,36.21,0,3.40,12.8,81.4,119
1778430294,37,10911,43,36.56,0,3.40,11.9,81.6,119
1778430295,44,10911,42,37.04,0,3.45,17.9,81.5,119
1778430297,36,10911,42,36.43,0,3.45,12.3,81.5,119
1778430299,34,10911,42,36.47,0,3.33,11.5,81.4,119
1778430301,33,10911,43,36.51,0,3.33,18.7,81.5,119
1778430303,40,10911,43,36.94,0,3.33,11.1,81.6,119
1778430305,45,10911,43,37.17,0,3.38,13.2,81.3,119
1778430307,36,10911,43,36.87,0,3.38,12.1,81.2,119
1778430308,32,10911,43,36.77,0,3.38,16.1,81.3,119
1778430310,42,10911,44,37.30,0,3.35,11.8,81.0,119
1778430312,33,10911,44,36.90,0,3.35,12.7,81.0,119
1778430314,37,10911,44,37.16,0,3.35,18.9,81.2,119
1778430316,41,10911,44,37.57,0,3.25,11.7,81.1,119
1778430317,35,10911,44,37.29,0,3.25,11.8,81.1,119
1778430319,45,10911,44,37.67,0,3.25,12.4,81.1,119
1778430321,42,10911,44,37.33,0,3.23,11.2,81.1,119
1778430323,34,10911,44,37.12,0,3.23,12.6,81.2,119
1778430324,46,10911,44,37.38,0,3.21,12.5,81.1,119
1778430326,32,10911,45,37.25,0,3.21,11.6,81.0,119
1778430328,40,10911,45,37.68,0,3.21,11.0,81.1,119
1778430330,39,10911,45,37.54,0,3.19,13.1,81.0,119
1778430332,38,10911,45,37.45,0,3.19,13.0,81.1,119
1778430333,45,10911,45,37.79,0,3.19,12.5,81.1,119
1778430335,35,10911,45,37.79,0,3.25,11.3,81.0,119
1778430337,44,10911,46,38.12,0,3.25,12.5,81.0,119
1778430339,38,10911,45,37.78,0,3.25,12.2,81.1,119
1778430341,35,10911,45,37.76,0,3.15,13.2,81.0,119
1778430342,43,10911,46,38.00,0,3.15,12.4,81.0,119
1778430344,37,10911,46,37.83,0,3.22,13.8,81.0,119
1778430346,38,10911,46,38.06,0,3.22,12.5,80.9,119
1778430348,33,10911,46,38.11,0,3.22,10.7,81.1,119
1778430350,36,10911,46,38.28,0,3.44,11.9,81.0,119
1778430351,39,10911,46,38.09,0,3.44,12.2,81.0,119
1778430353,64,10911,50,77.24,0,3.44,11.2,81.1,119
1778430355,28,10911,47,66.14,0,3.33,11.3,81.0,119
1778430357,39,10911,47,40.24,0,3.33,12.3,81.0,119
1778430359,28,10911,47,39.41,0,3.33,12.7,81.1,119
1778430360,29,10927,47,39.16,0,3.22,12.9,81.1,119
1778430362,38,10927,47,38.65,0,3.22,11.1,81.0,119
1778430364,31,10927,47,38.77,0,3.22,11.4,81.1,119
1778430366,35,10927,48,38.34,0,3.44,12.2,80.4,119
1778430367,34,10927,47,38.31,0,3.44,11.6,81.2,119
1778430369,39,10927,47,38.27,0,3.44,11.5,81.1,119
1778430371,42,10927,48,38.36,0,3.25,11.4,81.1,119
1778430373,45,10927,48,38.39,0,3.25,12.4,81.1,119
1778430375,44,10927,48,37.77,0,3.95,12.8,81.1,119
1778430376,46,10927,48,38.11,0,3.95,11.1,81.0,119
1778430378,43,10927,49,38.43,0,3.95,11.7,81.1,119
1778430380,37,10927,48,38.40,0,3.63,11.4,81.0,119
