ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778431035,33,10926,50,19.79,0,4.53,11.6,81.5,119
1778431037,23,10926,53,52.85,0,4.33,20.0,81.6,119
1778431038,29,10926,52,40.52,0,4.33,12.0,81.8,119
1778431040,22,10926,53,51.10,0,3.98,12.0,81.4,119
1778431042,22,10926,54,72.47,0,3.98,11.7,81.4,119
1778431044,29,10926,52,40.77,0,3.98,12.3,81.6,119
1778431046,37,10926,52,40.36,0,3.82,12.3,81.5,119
1778431047,40,10926,53,40.43,0,3.82,10.7,81.5,119
1778431049,39,10926,53,39.89,0,3.82,11.5,81.5,119
1778431051,37,10926,52,39.73,0,3.68,11.5,81.7,119
1778431053,40,10926,53,39.55,0,3.68,13.2,81.7,119
1778431054,32,10926,53,39.47,0,3.68,12.3,81.5,119
1778431056,33,10926,52,39.13,0,3.78,13.3,81.4,119
1778431058,33,10926,53,39.14,0,3.78,11.3,81.0,119
1778431060,45,10926,53,39.48,0,3.78,10.8,80.9,119
1778431062,33,10926,53,39.07,0,3.56,12.6,80.9,119
1778431063,43,10926,53,39.66,0,3.56,11.0,81.1,119
1778431065,23,10928,54,56.86,0,3.43,11.3,80.9,119
1778431067,32,10928,53,43.19,0,3.43,29.1,81.0,119
1778431069,22,10928,56,58.23,0,3.43,18.1,81.1,119
1778431070,22,10928,57,67.79,0,3.32,12.2,81.0,119
1778431072,22,10928,56,79.48,0,3.32,11.8,81.0,119
1778431074,18,10928,56,70.47,0,3.32,12.0,81.0,119
1778431076,23,10928,55,54.18,0,3.13,13.3,81.1,119
1778431077,35,10928,55,52.67,0,3.13,12.0,81.1,119
1778431079,30,10928,54,41.13,0,3.13,11.1,80.8,119
1778431081,36,10928,55,40.99,0,3.28,10.5,81.0,119
1778431083,43,10928,54,40.48,0,3.28,12.8,81.0,119
1778431085,36,10928,55,40.46,0,3.28,13.4,81.0,119
1778431086,38,10928,55,39.89,0,3.26,20.7,81.5,119
1778431088,37,10928,54,39.52,0,3.26,11.5,81.9,119
1778431090,33,10928,54,38.77,0,3.26,11.7,81.6,119
1778431092,42,10928,54,39.15,0,3.08,11.3,81.5,119
1778431093,45,10928,54,39.06,0,3.08,13.5,81.6,119
1778431095,38,10928,55,39.00,0,3.23,12.1,81.4,119
1778431097,47,10928,54,39.41,0,3.23,11.5,81.5,119
1778431099,31,10928,54,39.57,0,3.23,11.9,81.4,119
1778431101,42,10928,54,39.40,0,3.29,11.3,81.4,119
