ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778431880,28,10928,56,18.37,0,2.35,8.6,80.3,119
1778431881,22,10928,59,74.95,0,2.35,8.2,80.4,119
1778431883,28,10928,57,46.14,0,2.24,6.8,80.5,119
1778431885,32,10928,57,41.93,0,2.24,8.4,80.2,119
1778431886,30,10928,57,41.46,0,2.24,13.0,80.2,119
1778431888,43,10928,57,41.56,0,2.06,8.1,80.3,119
1778431890,43,10928,58,41.35,0,2.06,8.4,80.3,119
1778431892,39,10928,58,40.81,0,2.06,9.2,80.2,119
1778431893,37,10928,57,40.74,0,1.98,9.2,80.5,119
1778431895,33,10928,57,40.22,0,1.98,12.9,80.6,119
1778431897,33,10928,57,40.29,0,1.98,7.7,80.0,119
1778431899,43,10928,57,40.57,0,1.90,10.5,80.2,119
1778431900,44,10928,57,40.57,0,1.90,9.2,80.0,119
1778431902,42,10928,58,40.25,0,1.83,8.4,79.8,119
1778431904,35,10913,57,39.99,0,1.83,7.2,80.0,119
1778431906,33,10913,57,40.05,0,1.83,13.7,79.9,119
1778431907,36,10913,57,40.38,0,1.92,8.6,79.9,119
1778431909,44,10913,57,40.64,0,1.92,8.3,79.9,119
1778431911,39,10913,58,40.22,0,1.92,9.2,80.0,119
1778431913,34,10913,57,40.15,0,1.85,10.0,80.0,119
1778431914,41,10913,57,40.69,0,1.85,8.5,79.9,119
1778431916,34,10913,57,40.28,0,1.85,8.3,79.7,119
1778431918,41,10913,57,40.73,0,1.70,9.8,79.9,119
1778431920,47,10913,58,40.65,0,1.70,9.5,79.8,119
1778431921,33,10913,57,40.33,0,1.70,8.2,79.6,119
1778431923,33,10913,57,39.78,0,1.72,8.4,79.8,119
1778431925,41,10913,58,39.31,0,1.72,7.8,79.7,119
1778431926,33,10913,58,39.41,0,1.72,15.2,80.4,119
1778431928,37,10913,57,40.26,0,1.83,32.4,80.4,119
1778431930,32,10913,57,40.30,0,1.83,8.5,80.4,119
1778431932,33,10913,57,39.89,0,1.83,7.9,80.5,119
1778431934,36,10913,58,39.78,0,1.84,13.4,80.5,119
1778431935,59,10913,58,36.73,0,1.84,9.5,80.4,119
1778431937,16,10913,59,75.28,0,1.84,9.7,80.3,119
1778431939,36,10913,59,40.15,0,1.77,11.9,80.4,119
1778431940,28,10913,58,42.13,0,1.77,13.5,80.4,119
1778431942,30,10913,58,40.76,0,1.77,8.5,80.2,119
1778431944,30,10913,58,40.18,0,1.71,8.4,80.6,119
1778431946,17,10913,60,51.08,0,1.71,8.3,80.3,119
1778431947,20,10913,59,53.75,0,1.73,8.8,80.3,119
1778431949,23,10913,58,54.09,0,1.73,7.2,80.3,119
1778431951,23,10913,59,54.14,0,1.73,10.7,80.4,119
1778431953,37,10913,59,42.28,0,1.75,10.8,80.6,119
1778431954,29,10913,58,42.28,0,1.75,9.3,80.4,119
1778431956,43,10913,59,41.78,0,1.75,10.2,80.2,119
1778431958,39,10913,58,41.95,0,1.69,8.2,79.9,119
1778431960,43,10913,59,41.60,0,1.69,9.6,79.8,119
1778431961,40,10913,59,41.16,0,1.69,8.6,79.6,119
1778431963,33,10913,58,40.65,0,1.56,8.7,79.7,119
1778431965,36,10913,59,41.00,0,1.56,8.4,79.7,119
1778431967,44,10913,59,40.52,0,1.56,8.8,79.7,119
1778431968,46,10913,59,40.85,0,1.51,8.8,79.8,119
1778431970,33,10913,58,41.17,0,1.51,7.2,79.6,119
1778431972,23,10913,61,69.24,0,1.51,8.6,79.6,119
1778431974,22,10913,61,74.08,30,1.71,9.2,79.7,119
1778431975,16,10913,62,76.34,30,1.71,9.8,79.5,119
1778431977,28,10913,58,49.64,30,1.71,10.3,79.5,119
1778431979,35,10913,58,42.72,30,1.65,12.5,79.7,119
1778431981,34,10913,57,41.99,30,1.65,8.4,79.6,119
1778431982,30,10913,55,41.60,30,1.68,10.7,79.6,119
1778431984,43,10913,56,40.84,30,1.68,12.2,79.5,119
1778431986,42,10913,54,40.53,30,1.68,14.7,80.4,119
1778431988,44,10913,54,40.10,30,1.71,8.8,80.2,119
1778431990,42,10913,54,39.74,30,1.71,9.5,80.2,119
1778431992,33,10913,52,39.17,30,1.71,7.7,80.1,119
1778431993,46,10913,52,39.08,30,1.65,12.3,80.3,119
1778431995,30,10913,52,41.06,30,1.65,9.3,80.2,119
1778431997,39,10913,51,40.47,30,1.65,8.2,80.3,119
1778431999,37,10913,51,40.28,30,1.68,9.8,80.4,119
1778432000,30,10913,50,39.42,30,1.68,8.5,80.3,119
1778432002,23,10913,50,45.40,30,1.68,8.3,80.1,119
1778432004,24,10913,50,52.90,30,1.78,8.3,80.3,119
1778432006,24,10913,50,53.11,30,1.78,7.5,80.1,119
1778432008,24,10913,49,53.01,30,1.80,11.0,80.3,119
1778432009,38,10913,49,40.05,30,1.80,9.5,80.1,119
1778432011,36,10913,48,39.52,30,1.80,8.6,80.1,119
1778432013,35,10913,47,39.44,30,1.74,8.3,80.3,119
1778432015,32,10913,47,38.83,30,1.74,8.6,80.3,119
1778432017,39,10913,47,35.58,30,1.74,11.1,79.6,119
1778432019,30,10913,46,39.45,30,1.68,7.6,79.7,119
1778432021,30,10913,46,38.86,30,1.68,8.2,79.6,119
1778432023,33,10913,46,38.32,0,1.78,10.6,79.7,119
1778432025,37,10913,46,37.80,0,1.78,8.5,79.7,119
1778432027,32,10913,46,37.52,0,1.78,8.5,79.6,119
1778432029,33,10913,46,37.32,0,1.72,8.5,79.4,119
1778432031,44,10913,46,37.87,0,1.72,9.6,79.5,119
1778432033,33,10913,46,37.27,0,1.74,8.8,79.5,119
1778432035,44,10913,46,37.66,0,1.74,9.2,79.4,119
1778432037,34,10913,47,37.29,0,1.74,9.5,79.5,119
1778432039,34,10913,46,37.37,0,1.68,7.5,79.6,119
1778432041,46,10913,47,37.65,0,1.68,9.0,79.6,119
1778432043,33,10913,47,37.72,0,1.79,8.8,79.8,119
1778432045,34,10913,47,37.66,0,1.79,19.5,80.3,119
1778432046,45,10913,47,37.43,0,1.79,18.2,80.5,119
1778432048,23,10913,49,46.74,0,1.72,9.0,80.5,119
1778432050,38,10913,47,47.87,0,1.72,8.7,80.4,119
1778432052,37,10913,47,39.30,0,1.72,8.5,80.4,119
1778432053,29,10913,48,38.96,0,1.67,11.6,80.4,119
1778432055,41,10913,48,38.66,0,1.67,8.8,80.4,119
1778432057,33,10913,48,38.83,0,1.67,8.4,80.5,119
1778432059,42,10913,48,38.65,0,1.93,9.2,80.5,119
1778432060,41,10913,48,38.58,0,1.93,8.2,80.5,119
1778432062,35,10913,48,37.93,0,1.93,8.4,80.3,119
1778432064,34,10913,49,37.94,0,1.78,9.9,80.5,119
1778432066,32,10913,48,37.75,0,1.78,9.6,80.3,119
1778432067,34,10913,49,37.83,0,1.78,10.2,80.4,119
1778432069,39,10913,49,37.80,0,1.88,9.0,80.5,119
1778432071,33,10913,49,37.95,0,1.88,10.4,80.4,119
1778432073,35,10913,49,38.03,0,1.88,9.3,80.4,119
1778432074,38,10913,49,38.06,0,1.81,8.5,80.4,119
1778432076,24,10974,49,45.52,0,1.81,9.8,80.4,119
1778432078,41,6755,49,36.88,0,1.81,8.6,80.5,119
1778432080,90,6944,57,79.91,0,1.74,9.6,80.3,119
1778432081,94,6980,62,201.60,0,1.74,8.9,80.4,119
1778432083,95,6980,63,205.98,30,1.68,8.8,80.5,119
1778432085,94,6980,64,204.46,30,1.68,9.2,80.6,119
1778432087,94,6980,64,204.65,30,1.68,8.2,80.4,119
1778432088,95,6980,64,205.08,30,1.79,8.8,80.7,119
1778432090,3,1407,56,167.18,32,1.79,8.5,80.3,119
1778432092,20,10905,53,50.38,34,1.79,9.4,80.3,119
1778432094,19,10907,51,39.05,35,1.72,10.1,80.4,119
1778432095,4,10907,50,34.76,35,1.72,8.9,80.4,119
1778432097,21,11124,54,87.64,34,1.72,8.5,80.4,119
1778432099,22,11124,51,69.13,32,1.67,9.5,80.5,119
1778432101,21,11124,50,53.47,31,1.67,17.4,80.6,119
1778432102,21,11124,49,53.05,30,1.67,9.0,80.5,119
1778432104,39,11124,48,42.97,30,1.53,8.8,80.5,119
1778432106,28,11124,48,39.56,30,1.53,10.4,80.4,119
1778432108,30,11124,48,39.33,30,1.53,11.5,80.6,119
1778432109,29,11124,47,39.10,30,1.49,7.8,80.6,119
1778432111,40,11124,47,38.53,30,1.49,6.4,80.6,119
1778432113,33,11124,47,38.46,30,1.49,8.3,80.8,119
1778432115,43,11124,46,38.21,30,1.69,9.6,80.5,119
