ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778432406,45,10927,52,20.23,0,1.86,8.6,80.3,119
1778432408,20,10927,56,77.34,0,1.86,10.2,80.6,119
1778432409,38,10927,54,41.35,0,1.86,12.8,80.4,119
1778432411,39,10927,54,41.01,0,1.87,7.8,80.6,119
1778432413,29,10927,53,40.76,0,1.87,8.8,80.6,119
1778432415,32,10927,54,39.81,0,1.80,13.6,80.7,119
1778432417,33,10927,53,40.08,0,1.80,7.5,80.7,119
1778432419,32,10927,53,39.30,0,1.80,8.7,80.7,119
1778432421,39,10927,54,38.90,0,1.98,10.1,80.7,119
1778432422,42,10927,54,39.11,0,1.98,10.2,80.7,119
1778432424,42,10927,54,39.26,0,1.98,7.8,80.6,119
1778432426,42,10927,54,39.29,0,1.98,7.8,80.4,119
1778432428,35,10927,54,38.45,0,1.98,10.4,80.6,119
1778432429,32,10927,53,38.60,0,1.98,8.6,80.6,119
1778432431,38,10927,54,39.24,0,1.90,9.4,80.4,119
1778432433,45,10927,54,39.15,0,1.90,8.4,80.6,119
1778432435,42,10927,54,39.11,0,1.90,9.0,80.5,119
1778432436,33,10927,54,38.93,0,1.91,10.8,79.9,119
1778432438,34,10927,54,38.96,0,1.91,9.2,79.8,119
1778432440,42,10927,54,39.71,0,1.91,9.1,79.8,119
1778432442,46,10927,54,39.53,0,1.83,8.7,79.6,119
1778432444,33,10927,54,39.01,0,1.83,9.3,79.7,119
1778432446,42,10927,54,39.22,0,1.69,7.6,79.6,119
1778432448,32,10927,54,38.97,0,1.69,10.3,79.8,119
1778432449,35,10927,54,39.26,0,1.69,8.8,79.6,119
1778432451,34,10927,54,39.30,0,1.55,8.2,79.7,119
1778432453,32,10927,54,39.18,0,1.55,9.2,79.7,119
1778432455,41,10927,54,39.52,0,1.55,10.0,79.7,119
1778432456,42,10927,55,39.97,0,1.51,9.5,79.8,119
1778432458,39,10927,54,39.22,0,1.51,22.3,80.3,119
1778432460,33,10927,54,39.23,0,1.55,13.9,80.3,119
1778432462,40,10927,54,39.61,0,1.55,10.6,80.0,119
1778432464,34,10927,54,39.00,0,1.55,8.9,80.0,119
1778432466,41,10927,55,39.49,0,1.66,25.7,80.7,119
1778432468,33,10927,54,39.22,0,1.66,8.1,80.5,119
1778432470,42,10927,55,39.71,0,1.66,10.1,80.5,119
1778432471,33,10927,54,39.51,0,1.69,9.0,80.5,119
1778432473,45,10927,55,39.68,0,1.69,9.0,80.6,119
1778432475,17,10927,58,92.57,0,1.69,9.8,80.6,119
1778432477,33,10927,55,48.73,0,1.63,14.0,80.6,119
1778432478,28,10927,55,41.56,0,1.63,14.8,80.8,119
1778432480,37,10927,56,41.66,0,1.50,9.0,80.4,119
1778432482,30,10927,56,40.96,0,1.50,9.4,80.5,119
1778432484,40,10927,55,40.75,0,1.50,9.3,80.4,119
1778432486,3,10927,55,44.75,0,1.38,8.7,80.7,119
1778432487,39,10927,56,47.27,0,1.38,9.0,80.7,119
1778432489,31,10927,56,41.86,0,1.38,9.0,80.7,119
1778432491,21,10927,59,86.72,0,1.35,9.3,80.7,119
1778432492,30,10927,57,57.64,0,1.35,9.7,80.7,119
1778432494,28,10927,56,42.19,0,1.35,8.9,80.5,119
1778432496,28,10927,56,41.53,0,1.40,9.2,80.6,119
1778432498,30,10927,56,41.26,0,1.40,15.9,80.1,119
1778432499,38,10927,56,41.19,0,1.40,14.4,80.2,119
1778432501,31,10927,55,40.91,0,1.37,9.8,80.2,119
1778432503,42,10927,57,40.38,0,1.37,14.6,80.4,119
1778432505,32,10927,56,40.21,0,1.37,14.5,80.3,119
1778432506,34,10927,56,40.13,0,1.42,9.8,80.3,119
1778432508,41,10927,57,40.36,0,1.42,9.4,80.3,119
1778432510,37,10927,56,40.18,0,1.42,9.3,80.0,119
1778432512,32,10927,56,40.17,0,1.39,10.3,80.3,119
1778432513,35,10927,56,40.58,0,1.39,15.4,80.4,119
1778432515,42,10927,57,40.73,0,1.39,8.6,80.2,119
1778432517,43,10927,56,40.53,0,1.44,17.4,80.4,119
1778432519,33,10927,56,40.34,0,1.44,16.1,80.5,119
1778432520,39,10927,57,40.23,0,1.44,8.8,80.4,119
1778432522,39,10927,56,40.41,0,1.48,9.2,80.2,119
1778432524,43,10927,57,40.59,0,1.48,9.7,80.2,119
1778432526,33,10927,56,40.50,0,1.44,11.2,80.4,119
1778432527,34,10927,56,40.51,0,1.44,9.2,81.2,119
1778432529,34,10927,56,40.53,0,1.44,11.9,81.2,119
1778432531,33,10927,56,40.52,0,1.65,9.7,81.2,119
1778432533,41,10927,57,40.69,0,1.65,16.9,81.4,119
1778432534,7,10927,55,34.57,0,1.65,8.5,81.1,119
