ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778432541,33,10927,55,17.38,0,1.99,9.8,81.2,119
1778432542,20,10927,58,74.61,0,1.99,14.8,81.3,119
1778432544,28,10927,56,41.86,0,1.99,8.4,81.1,119
1778432546,31,10927,56,41.59,0,2.07,9.0,81.2,119
1778432548,35,10927,56,40.64,0,2.07,10.5,81.3,119
1778432549,39,10927,57,41.04,0,2.07,23.3,81.4,119
1778432551,35,10927,56,40.52,0,1.98,16.0,81.5,119
1778432553,39,10927,56,40.57,0,1.98,8.3,81.5,119
1778432555,33,10927,56,40.20,0,1.98,8.8,81.5,119
1778432557,41,10927,57,40.26,0,2.06,10.3,80.6,119
1778432558,44,10927,57,40.18,0,2.06,8.7,80.7,119
1778432560,45,10927,57,40.31,0,2.06,8.9,80.6,119
1778432562,46,10927,56,40.27,0,1.90,11.3,80.4,119
1778432564,41,10927,56,40.15,0,1.90,12.7,80.6,119
1778432565,33,10927,56,39.83,0,1.90,8.8,80.5,119
1778432567,33,10927,57,39.84,0,1.91,8.8,80.5,119
1778432569,41,10927,57,40.51,0,1.91,8.7,80.5,119
1778432571,46,10927,56,40.53,0,1.91,9.9,80.5,119
1778432572,34,10927,56,39.99,0,1.83,9.5,80.4,119
1778432574,32,10927,57,40.14,0,1.83,9.1,80.3,119
1778432576,36,10927,56,40.10,0,1.93,9.5,80.4,119
1778432578,33,10927,57,40.40,0,1.93,9.8,80.3,119
1778432579,46,10927,57,40.36,0,1.93,8.2,80.2,119
1778432581,42,10927,56,40.16,0,1.77,8.7,80.3,119
1778432583,34,10927,57,39.85,0,1.77,9.3,80.4,119
1778432584,46,10927,57,40.58,0,1.77,9.5,80.2,119
1778432586,34,10927,57,40.38,0,1.87,15.7,80.9,119
1778432588,39,10927,57,40.46,0,1.87,9.3,80.9,119
1778432590,62,10927,63,66.41,0,1.87,10.8,80.6,119
1778432592,21,10927,60,76.60,0,1.96,8.4,80.9,119
1778432594,21,10927,59,48.68,0,1.96,9.4,81.0,119
1778432595,21,10927,59,74.96,0,1.96,8.6,80.8,119
1778432597,62,10929,57,39.46,0,2.04,8.3,80.8,119
1778432599,38,10929,58,45.11,0,2.04,8.5,81.0,119
1778432601,28,10929,58,43.00,0,2.04,9.3,80.7,119
1778432602,20,10929,60,69.28,0,2.12,10.8,80.8,119
1778432604,3,10929,59,73.32,0,2.12,8.5,80.7,119
1778432606,21,10929,62,86.39,0,2.03,9.6,80.8,119
1778432608,38,10929,58,46.37,30,2.03,9.6,80.8,119
1778432610,27,10929,58,43.10,30,2.03,9.4,80.7,119
1778432611,33,10929,58,42.53,30,2.03,8.1,80.7,119
1778432613,30,10929,56,41.68,30,2.03,9.4,80.8,119
1778432615,34,10929,56,41.45,30,2.03,10.8,80.7,119
1778432617,35,10929,54,40.30,30,1.95,9.8,80.2,119
1778432618,43,10929,54,40.76,30,1.95,9.5,80.3,119
1778432620,33,10929,53,39.69,30,1.95,9.4,80.1,119
1778432622,34,10929,53,39.48,30,1.95,9.2,80.2,119
1778432624,34,10929,52,39.26,30,1.95,9.7,80.4,119
1778432625,45,10929,52,39.44,30,1.95,9.5,80.2,119
1778432627,39,10929,51,42.12,30,1.87,9.7,80.1,119
1778432629,30,10929,52,40.92,30,1.87,8.2,80.2,119
1778432631,29,10929,50,39.91,30,1.87,9.2,80.1,119
1778432632,36,10929,50,39.54,30,1.72,9.2,80.1,119
1778432634,40,10929,49,39.24,30,1.72,8.4,80.0,119
1778432636,40,10929,49,38.86,30,1.74,8.3,80.2,119
1778432638,33,10929,49,38.27,30,1.74,8.6,80.1,119
1778432640,39,10929,48,38.53,30,1.74,7.8,80.1,119
1778432642,47,10929,47,38.64,30,1.68,9.4,80.3,119
1778432644,35,10929,47,37.90,30,1.68,8.5,80.4,119
1778432646,47,10929,47,38.33,30,1.68,31.4,81.7,119
1778432648,43,10929,47,37.92,30,3.55,31.7,81.8,119
1778432649,33,10929,46,37.91,30,3.55,29.8,81.7,119
1778432651,32,10929,46,37.80,30,3.51,7.6,81.7,119
1778432653,33,10929,46,37.39,0,3.51,8.6,81.8,119
1778432655,37,10929,45,37.47,0,3.51,9.4,81.6,119
