ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1,host_cpu_pct,host_mem_used_pct,ollama_rss_mb
1778432987,33,10928,46,14.77,0,2.00,7.2,81.2,119
1778432989,22,10928,51,75.97,0,2.00,19.8,81.5,119
1778432990,37,10928,48,40.36,0,2.00,7.4,81.5,119
1778432992,38,10928,48,39.99,0,2.00,6.4,81.4,119
1778432994,33,10928,49,39.24,0,1.92,13.5,81.5,119
1778432996,35,10928,49,39.25,0,1.92,7.7,81.3,119
1778432997,40,10928,49,39.16,0,1.92,6.5,81.3,119
1778432999,32,10928,48,38.68,0,1.92,7.5,81.6,119
1778433001,35,10928,48,38.47,0,1.92,8.0,81.6,119
1778433003,35,10928,49,37.99,0,1.92,8.7,81.6,119
1778433004,36,10928,49,37.61,0,1.85,7.3,81.4,119
1778433006,34,10928,49,37.92,0,1.85,12.4,81.2,119
1778433008,32,10928,49,37.78,0,1.85,7.0,81.3,119
1778433010,48,10928,49,38.35,0,1.94,7.6,81.3,119
1778433011,33,10928,49,37.73,0,1.94,8.0,81.3,119
1778433013,32,10928,49,37.62,0,1.94,6.4,81.4,119
1778433015,33,10928,49,37.76,0,1.86,7.6,81.4,119
1778433017,32,10928,49,37.89,0,1.86,6.8,81.4,119
1778433018,35,10928,49,38.31,0,1.86,8.3,81.6,119
1778433020,44,10928,50,38.63,0,1.79,7.6,81.5,119
1778433022,33,10928,49,38.27,0,1.79,6.8,81.2,119
1778433024,46,10928,50,38.58,0,2.05,7.6,81.4,119
1778433026,33,10928,49,38.04,0,2.05,10.8,81.3,119
1778433027,46,10928,50,38.42,0,2.05,7.5,81.4,119
1778433029,33,10928,50,38.29,0,2.05,6.9,81.3,119
1778433031,45,10928,50,38.67,0,2.05,8.8,81.1,119
1778433033,43,10928,50,38.18,0,2.05,9.1,81.1,119
1778433034,32,10928,50,38.06,0,1.96,7.9,81.1,119
1778433036,33,10928,50,38.16,0,1.96,12.4,80.3,119
1778433038,44,10928,50,38.32,0,1.96,6.8,80.3,119
1778433040,33,10928,50,38.26,0,1.89,6.2,80.3,119
1778433042,33,10928,50,38.41,0,1.89,7.8,80.3,119
1778433043,33,10928,50,38.52,0,1.89,8.6,80.4,119
1778433045,42,10928,51,38.48,0,1.81,7.5,80.4,119
1778433047,42,10928,51,38.93,0,1.81,7.4,80.3,119
1778433049,35,10928,50,38.42,0,1.81,7.4,80.4,119
1778433050,34,10928,50,38.19,0,1.83,7.2,80.3,119
1778433052,41,10928,51,38.84,0,1.83,8.5,80.4,119
1778433054,33,10928,51,38.46,0,1.84,9.3,80.4,119
1778433056,46,10928,51,38.79,0,1.84,7.4,80.4,119
1778433058,40,10928,51,39.08,0,1.84,6.8,80.3,119
1778433060,33,10928,51,39.13,0,1.85,7.5,80.3,119
1778433062,33,10928,51,39.13,0,1.85,8.7,80.3,119
1778433063,33,10928,51,39.00,0,1.85,6.9,80.5,119
1778433065,22,10928,53,85.25,0,1.87,8.0,80.4,119
1778433067,29,10928,52,50.27,0,1.87,7.2,81.1,119
1778433069,42,10928,51,40.72,0,1.87,7.6,81.0,119
1778433070,37,10928,52,40.53,0,1.80,8.3,80.9,119
1778433072,30,10928,52,40.40,0,1.80,7.9,80.9,119
1778433074,31,10928,52,39.59,0,1.81,7.0,81.0,119
1778433076,32,10928,52,39.27,0,1.81,15.4,80.9,119
1778433078,31,10928,52,39.29,0,1.81,7.0,81.0,119
1778433080,45,10928,52,39.48,0,1.75,6.3,80.8,119
1778433082,33,10928,52,39.46,0,1.75,8.0,80.8,119
1778433083,34,10928,52,39.25,0,1.75,7.6,81.0,119
1778433085,39,10928,53,39.68,0,1.85,6.5,81.0,119
1778433087,41,10928,53,39.30,0,1.85,7.5,80.9,119
1778433089,33,10928,52,39.50,0,1.85,8.8,81.0,119
1778433090,32,10928,52,39.54,0,1.78,8.6,81.1,119
1778433092,33,10928,52,39.47,0,1.78,6.5,80.8,119
1778433094,41,10928,53,39.72,0,1.78,6.6,80.8,119
1778433096,41,10928,52,39.12,0,1.72,7.5,81.0,119
1778433098,46,10928,52,39.37,0,1.72,8.5,80.5,119
1778433099,43,10928,53,39.49,0,1.74,8.4,80.4,119
1778433101,43,10928,52,39.46,0,1.74,6.9,80.3,119
1778433103,43,10928,53,39.58,0,1.74,7.5,80.5,119
1778433105,41,10928,53,40.17,0,1.68,6.9,80.4,119
1778433107,37,10928,53,39.71,0,1.68,7.4,80.3,119
1778433108,41,10928,53,39.65,0,1.68,7.5,80.4,119
1778433110,39,10928,53,39.93,0,1.54,7.4,80.3,119
1778433112,46,10928,53,40.10,0,1.54,7.7,80.3,119
1778433114,34,10928,53,39.74,0,1.54,6.2,80.4,119
1778433116,33,10928,53,39.76,0,1.50,6.4,80.3,119
1778433118,35,10928,54,40.09,0,1.50,6.4,80.4,119
1778433120,40,10928,53,39.75,0,1.46,7.2,80.3,119
1778433122,33,10928,54,40.15,0,1.46,15.7,80.3,119
1778433123,40,10928,53,39.72,0,1.46,7.6,80.2,119
1778433126,64,10928,55,48.60,0,1.42,7.5,80.4,119
1778433127,36,10928,56,71.50,0,1.42,9.8,81.1,119
1778433129,37,10928,54,38.72,0,1.42,7.2,81.0,119
1778433131,34,10928,54,41.09,0,1.47,7.3,81.0,119
1778433133,31,10928,54,40.72,0,1.47,7.8,81.1,119
1778433135,37,10928,54,40.76,0,1.51,6.6,81.1,119
1778433137,34,10928,55,43.65,0,1.51,7.5,81.1,119
1778433138,29,10928,54,39.42,0,1.51,7.5,81.1,119
1778433140,40,10928,54,43.66,0,1.55,7.8,80.9,119
1778433142,30,10928,55,42.93,0,1.55,7.4,81.0,119
1778433144,36,10928,55,41.97,0,1.55,7.5,81.2,119
1778433145,21,10928,56,70.23,0,1.43,8.3,81.1,119
1778433147,16,10928,57,73.39,0,1.43,7.6,81.0,119
1778433149,21,10928,57,91.24,0,1.43,6.6,81.1,119
1778433151,39,10928,56,45.95,0,1.47,6.3,81.1,119
1778433153,39,10928,55,42.32,0,1.47,9.0,81.2,119
1778433154,30,10928,55,41.74,0,1.47,7.7,81.1,119
1778433156,39,10928,55,41.16,0,1.43,8.4,80.9,119
1778433158,43,10928,55,41.13,0,1.43,8.2,80.3,119
1778433160,45,10928,55,40.96,0,1.43,7.4,80.5,119
1778433161,39,10928,55,40.64,0,1.40,7.7,80.3,119
1778433163,32,10928,55,40.06,0,1.40,10.5,80.6,119
1778433165,36,10928,55,40.13,0,1.45,6.7,80.3,119
1778433167,41,10928,55,40.02,0,1.45,7.2,80.5,119
1778433169,32,10928,55,40.01,0,1.45,6.9,80.5,119
